part_number,description,upc
10.600-9.050REB,10.600-9.050 ECCENTRIC REDUCER,018578024830
10.600-9.650R,10.600 X 9.650 REDUCER,018578017832
10.600-9.650REB,10.600-9.650 REDUCER ECCENTRIC,018578024847
1000-316HT,SIZE 1000 HT CLAMP 316SS,018578024854
1001-10-6,"COUPLING 10"" x 6"" CLAY",018578012639
1001-10-8,"COUPLING 10"" x 8"" CLAY",018578004788
1001-10-8EB,"COUPLING 10"" x 8"" CLAY ECC",018578024878
1001-10-8OS,"COUPLING 10"" x 8"" CLAY OS",018578024892
1001-10-8OSHTRC,"COUP 10"" x 8"" CLAY OS HT RC",#N/A
1001-10-8RC,"COUPLING 10"" x 8"" CLAY RC",018578047136
1001-1010,"COUPLING 10"" x 10"" CLAY",018578001701
1001-1010A,"COUPLING 10"" X 10"" CLAY 316SS",018578024908
1001-1010HT,"COUPLING 10"" x 10"" CLAY HT",018578024922
1001-1010OS,"COUPLING 10"" x 10"" CLAY OS",018578007093
1001-1010OSHTRC,"COUP 10"" x 10"" CLAY OS HT RC",#N/A
1001-1010OSRC,"COUP 10"" CLAY x 10"" CLAY RC OS",#N/A
1001-1010RC,"COUPLING 10"" x 10"" CLAY RC",018578005570
1001-1010WC,"COUPLING 10""X 10""  CLAY WEST C",018578018334
1001-1010WCRC,"COUPLING 10""X 10""  CLAY WEST C",018578014695
1001-12-6,"COUPLING 12""CLAY-6""CLAY",018578024984
1001-12-8,"COUPLING 12""CLAY-8""CLAY",018578013827
1001-12-8EB,"COUPLING 12""CLAY-8CLAY EB",018578024991
1001-12-8EBRC,"COUP 12"" CLAY - 8"" CLAY EB RC",#N/A
1001-1210,"COUPLING 12""CLAY-10""CLAY",018578004795
1001-1212,"COUPLING 12"" CLAY/CLAY",018578001718
1001-1212-GPQ,"COUPLING 12"" CLAY/CLAY",#N/A
1001-12122,"COUPLING 12CL X 12CL X 10""",#N/A
1001-1212A,"COUPLING 12"" CLAY/CLAY 316SS",018578025035
1001-1212HT,"COUPLING 12"" CLAY/CLAY HT",018578025059
1001-1212RC,"COUPLING 12"" CLAY/CLAY",018578005587
1001-1212WC,COUPLING 12X12 CLAY WEST COAST,018578018358
1001-1212WCRC,COUPLING 12X12 CLAY WEST COAST,018578014138
1001-15-8,"COUPLING 15""CLAY-8""CLAY",018578025073
