part_number,description,upc
1056-10-3,"COUPLING 10""CI/PL-3""CI/PL",018578028807
1056-10-4,"COUPLING 10""CI/PL-4""CI/PL",018578007512
1056-10-4EB,"COUPLING 10""CI/PL-4""CI/PL EB",018578018112
1056-10-4SDRRC,"COUPLING10""CI/PL-4""CI/PL SDR35",#N/A
1056-10-5,"COUPLING 10""CI/PL-5""CI/PL",018578028821
1056-10-5EB,"COUPLING 10""CI/PL-5""CI/PL ECC",018578040816
1056-10-6,"COUPLING 10""CI/PL-6""CI/PL",018578006614
1056-10-6EB,"COUPLING 10""CI/PL-6""CI/PL",018578002470
1056-10-6EBRC,"COUPLING 10""CI/PL-6""CI/PL RC",#N/A
1056-10-6RC,"COUPLING10""CI/PL-6""CI/PL SCH40",018578028845
1056-10-6SDRRC,"COUPLING10""CI/PL-6""CI/PL SDR35",018578047228
1056-10-8,COUPLING 10X8 CI/PL,018578001893
1056-10-8A,COUPLING 10X8 CI/PL 316SS,018578020221
1056-10-8EB,"COUPLING 10""CI/PL-8""CI/PL EB",018578018570
1056-10-8EBRC,COUPLING 10X8 CI/PL ECC. RC,#N/A
1056-10-8RC,COUPLING 10X8 CI/PL SR SCH40,018578014015
1056-10-8SDRRC,COUPLING 10X8 CI/PL RC SDR 35,#N/A
1056-100,COUPLING 1 X 1 PLASTIC BLACK,018578015432
1056-100-FB,COUPLING 11/4X11/4 CI/PL,#N/A
1056-100-WB,COUPLING 1 X 1 PLASTIC BLACK,#N/A
1056-100A,COUPLING 1 X 1 BLACK 316SS,018578028890
1056-100V3,COUPLING 1 X 1 PLASTIC BLUE,#N/A
1056-1010,COUPLING 10X10 CI/PL,018578002012
1056-1010-GPQ,COUPLING 10X10 CI/PL,#N/A
1056-1010-WB,COUPLING 10X10 CI/PL,#N/A
1056-1010-WF,COUPLING 10X10 CI/PL,#N/A
1056-10102,"COUPLING 10""X10""X10""CI/PL",018578020535
1056-10102RC,"COUPLING 10""X10""X10""CI/PL RC",018578045996
1056-1010A,COUPLING 10X10 CI/PL 316SS,018578028937
1056-1010HT,COUPLING 10X10 CI/PL 316 HT,018578028951
1056-1010RC,"COUPLING 10""CI/PL-10""CI/PL RC",018578005990
1056-1010RC-WF,"COUPLING 10""CI/PL-10""CI/PL RC",#N/A
1056-1010UBRC,"COUPLING 10""CI/PL-10""CI/PL RC",018578048294
1056-12-2,"COUPLING 12""CI/PL-2""CI/PL",018578039216
1056-12-3,"COUPLING 12""CI/PL-3""CI/PL",018578028982
1056-12-3RC,"COUPLING 12""CI/PL-3""CI/PL RC",#N/A
1056-12-4,"COUPLING 12""CI/PL-4""CI/PL",018578008489
1056-12-4EB,"COUPLING 12""CI/PL-4""CI/PL EB",018578014152
1056-12-4RC,"COUPLING 12""CI/PL-4""CI/PL RC",018578049192
1056-12-4SDRRC,"COUP 12""CI/PL-4""CI/SDR RC",#N/A
1056-12-5,"COUPLING 12""CI/PL-5""CI/PL",018578029019
1056-12-6,"COUPLING 12""CI/PL-6""CI/PL",018578004337
1056-12-6EB,"COUPLING 12""CI/PL-6""CI/PL",018578008823
1056-12-6RC,"COUPLING 12""CI/PL-6""CI/PL RC",018578017016
1056-12-6SDRRC,"COUP 12""CI/PL-6""CI/SDR  RC",#N/A
1056-12-8,"COUPLING 12""CI/PL-8""CI/PL",018578004344
1056-12-8EB,"COUPLING 12""CI/PL-8""CI/PL EB",018578012479
1056-12-8RC,"COUPLING 12""CI/PL-8""CI/PL RC",018578011328
1056-12-8SDR,"COUPLING 12""CI/PL-8""CI/PL SDR",#N/A
1056-12-8SDRRC,"COUPLING 12""CI/PL-8""CI/SDR RC",#N/A
1056-1210,COUPLING 12X10 CI/PL,018578002234
1056-1210A,COUPLING 12X10 CI/PL 316SS,018578029071
1056-1210EB,"COUPLING 12""CI/PL-10""CI/PL EB",018578012868
1056-1210EBRC,"COUPLING 12""CI/PL-10""CI/PLEBRC",018578028500
1056-1210RC,"COUPLING 12""CI/PL-10""CI/PL RC",018578014053
1056-1212,COUPLING 12X12 CI/PL,018578002029
1056-1212-GPQ,COUPLING 12X12 CI/PL,#N/A
1056-1212-WF,COUPLING 12X12 CI/PL,#N/A
1056-12122,COUPLING 12X12 CI/PL TALL,018578042964
1056-12122RC,COUPLING 12X12 CI/PL RC TALL,018578042971
1056-1212A,COUPLING 12X12 CI/PL 316SS,018578029101
1056-1212RC,"COUPLING 12""CI/PL-12""CI/PL RC",018578006003
1056-1212RC-WF,"COUPLING 12""CI/PL-12""CI/PL RC",#N/A
1056-125,COUPLING 11/4X11/4 CI/PL,018578015449
1056-125-PP,"PP# 310311 - 1.25"" CI/PL COUP",#N/A
1056-125-WB,COUPLING 11/4X11/4 CI/PL,#N/A
1056-125-WF,COUPLING 11/4X11/4 CI/PL,#N/A
1056-125A,COUPLING 11/4X11/4 CI/PL 316SS,018578029132
1056-125RC,COUPLING 1.25CI/PL RC,018578046061
1056-125V3,COUPLING 1-1/4 CI/PL BLUE,#N/A
1056-125V3RC,COUPLING 1-1/4 CI/PL RC BLUE,#N/A
1056-15-4,"COUPLING 15""CI/PL-4""CI/PL",018578029163
1056-15-6,"COUPLING 15""CI/PL-6""CI/PL",018578029187
1056-15-6EB,"COUPLING 15""CI/PL-6""CI/PL ECCE",018578014725
1056-15-6RC,"COUPLING 15""CI/PL-6""CI/PL RC",018578029194
1056-15-8,"COUPLING 15""CI/PL-8""CI/PL",018578017153
1056-15-8EB,"COUPLING 15""CI/PL-8""CI/PL ECCE",018578029200
1056-15-8RC,"COUPLING 15""CI/PL-8""CI/PL RC",018578047976
1056-150,COUPLING 11/2X11/2 CI/PL,018578015456
1056-150-PP,"PP# 731101 - 2"" X 1.5"" COUP",#N/A
1056-150-WB,COUPLING 11/2X11/2 CI/PL,#N/A
1056-150-WF,COUPLING 11/2X11/2 CI/PL,#N/A
1056-150/125,COUPLING 11/2X11/4 CI/PL,018578015463
1056-150/125-WB,COUPLING 11/2X11/4 CI/PL,#N/A
1056-150/125-WF,COUPLING 11/2X11/4 CI/PL,#N/A
1056-1502,"COUPLING 11/2X11/2X7"" CI/PL",018578019867
1056-1502RC,"COUPLING 11/2X11/2X7"" CI/PL RC",018578045903
1056-150A,COUPLING 11/2X11/2 CI/PL 316SS,018578020023
1056-150RC,COUPLING 1.50CI/PL RC,018578005891
1056-150RC-WB,COUPLING 1.50CI/PL RC,#N/A
1056-150RC-WF,COUPLING 1.50CI/PL RC,#N/A
1056-150V3,COUPLING 1-1/2 CI/PL BLUE,#N/A
1056-150V3RC,COUPLING 1-1/2 CI/PL RC BLUE,#N/A
1056-150W,COUP 1-1/2X1-1/2 CI/PL WHITE,#N/A
1056-1510,"COUPLING 15""CI/PL-10""CI/PL",018578007420
1056-1510EB,"COUPLING 15""CI/PL-10""CI/PL EB",018578018501
1056-1510RC,"COUPLING 15""CI/PL-10""CI/PL RC",018578047549
1056-1512,"COUPLING 15""CI/PL-12""CI/PL",018578002241
1056-1512EB,"COUPLING 15""CI/PL-12""CI/PL",018578010116
1056-1512EBRC,"COUPLING15""CI/PL-12""CI/PL EBRC",018578020733
1056-1512RC,"COUPLING 15""CI/PL-12""CI/PL RC",018578029279
1056-1512RC-WF,"COUPLING 15""CI/PL-12""CI/PL RC",#N/A
1056-1515,COUPLING 15X15 CI/PL,018578002036
1056-1515-GPQ,COUPLING 15X15 CI/PL,018578048713
1056-1515A,COUPLING 15X15 CI/PL 316SS,018578029286
1056-1515RC,"COUPLING 15""CI/PL-15""CI/PL RC",018578008328
1056-1515SRA,"COUPL 15""CI/PL-15""CI/PL SR 316",018578048072
1056-1815,"COUPLING 18""CI/PL-15""CI/PL",018578001930
1056-1815RC,"Coupling 18""CI/PL-15CI/PL RC",018578029324
1056-1816,"COUPLING 18""CI/PL-16""CI/PL",018578029330
1056-1816RC,"COUPLING 18""CI/PL-16""CI/PL RC",018578046788
1056-1818,COUPLING 18X18 CI/PL,018578001947
1056-1818-GPQ,COUPLING 18X18 CI/PL,018578048744
1056-1818RC,"COUPLING 18""CI/PL-18CI/PL RC",018578011236
1056-2/100,"COUPLING 2""CI/PL-1.00CI/PL",#N/A
1056-2/1125,"COUPLING 2""CI/PL-1.125CI/PL",018578008991
1056-2/125,"COUPLING 2""CI/PL-1.25CI/PL",018578006249
1056-2121,COUPLING 21X21 CI/PL,018578004641
1056-2121RC,"COUPLING 21""CI/PL-21""CI/PL RC",018578011991
1056-215,COUPLING 2X11/2 CI/PL,018578015470
1056-215-PP,"PP# 731278 - 2"" X 1.5"" COUP",#N/A
1056-215-WB,COUPLING 2X11/2 CI/PL,#N/A
1056-215-WF,COUPLING 2X11/2 CI/PL,#N/A
1056-215A,"COUPLING 2X11/2 CI/PL, 316SS",018578020085
1056-215RC,"COUPLING 2""CI/PL-1.5""CI/PL RC",018578019294
1056-215SBL,COUPLING 2X11/2 SPEC. BAND LOC,018578029408
1056-22,COUPLING 2X2 CI/PL,018578015487
1056-22-WB,COUPLING 2X2 CI/PL,#N/A
1056-22-WF,COUPLING 2X2 CI/PL,#N/A
1056-222,"COUPLING 2X2X7"" CI/PL",018578007741
1056-222RC,"COUPLING 2X2X7"" CI/PL RC",018578045910
1056-22A,COUPLING 2X2 CI/PL 316SS,018578020009
1056-22RC,"COUPLING 2""CI/PL-2""CI/PL RC",018578005907
1056-22RC-WB,"COUPLING 2""CI/PL-2""CI/PL RC",#N/A
1056-22RC-WF,"COUPLING 2""CI/PL-2""CI/PL RC",#N/A
1056-22SRA,"COUPLING 2""CI/PL-2""CI/PLSR 316",018578040069
1056-22V3,1056-22 W/BLUE FDA MATERIAL,018578029460
1056-22V3RC,COUPLING 2X2 CI/PL RC BLUE,#N/A
1056-22W,COUPLING 2X2 CI/PL WHITE,#N/A
1056-2424,COUPLING 24X24 CI/PL,018578001954
1056-2424RC,"COUPLING 24""CI/PL-24""CI/PL RC",018578011717
1056-250,"COUPLING 2 1/2""PL X 2 1/2"" PL",018578017719
1056-250-WF,"COUPLING 2 1/2""PL X 2 1/2"" PL",#N/A
1056-250/125,"COUPLING 2 1/2""PL X 1 1/4""PL",018578039131
1056-250/125RC,"COUPLING 2 1/2""PLX1 1/4""PL RC",018578039186
1056-250/150,"COUPLING 2 1/2""PLX1 1/2""CI/PL",018578039124
1056-250/150RC,"COUPL 2 1/2""PLX1 1/2""CI/PL RC",018578039179
1056-250/22,"COUPLING 2 1/2""PL X 2"" CI/PL",018578039117
1056-250/22RC,"COUPLING 2 1/2""PL X 2""CI/PL RC",018578039162
1056-250A,"COUPL 2 1/2""PL X 2 1/2"" PL 316",#N/A
1056-250RC,"COUPLING 2 1/2""PLX2 1/2""PL RC",018578039155
1056-2727,"COUPLING 27""X27"" CI/PL",018578005082
1056-2727RC,"COUPLING 27""CI/PL-27""CI/PL RC",018578018624
1056-3/1125,"COUPLING 3""CI/PL-1.125CI/PL",018578029545
1056-3/125,"COUPLING 3""CI/PL-1.25CI/PL",018578012844
1056-3/250,"COUPLING 3""CI/PL X 2 1/2""PL",018578039148
1056-3/250RC,"COUPLING 3""CI/PLX 2 1/2"" PL RC",018578039193
1056-300,"3"" OD TUBE X 3"" OD TUBE",018578018211
1056-315,COUPLING 3X11/2 CI/PL,018578015494
1056-315A,COUPLING 3X11/2 CI/PL 316SS,018578047754
1056-315EB,COUPLING 3X11/2 CI/PL EB,018578017764
1056-315SBL,COUPLING 3X11/2 CI/PL BAND LOC,018578029569
1056-32,COUPLING 3X2 CI/PL,018578015500
1056-32-WB,COUPLING 3X2 CI/PL,#N/A
1056-32A,COUPLING 3X2 CI/PL 316SS,018578019904
1056-32EB,"COUPLING 3""CI/PL-2""CI/PL EB",018578007949
1056-32EBRC,"COUPL 3""CI/PL-2""CI/PL EB RC",018578040410
1056-32RC,"COUPLING 3""CI/PL-2""CI/PL RC",018578008045
1056-33,COUPLING 3X3 CI/PL,018578015517
1056-33-PP,"PP# 730192 - 3"" CI/PL COUP",#N/A
1056-33-WB,COUPLING 3X3 CI/PL,#N/A
1056-33-WF,COUPLING 3X3 CI/PL,#N/A
1056-332,"COUPLING 3X3X8"" CI/PL",018578006195
1056-332RC,"COUPLING 3X3X8"" CI/PL RC",018578045927
1056-33A,COUPLING 3X3 CI/PL 316SS,018578019928
1056-33RC,"COUPLING 3""CI/PL-3""CI/PL RC",018578005914
1056-33RC-WF,"COUPLING 3""CI/PL-3""CI/PL RC",#N/A
1056-33SRA,"Coupling 3""CI/PL-3""CI/PL 316SR",018578029613
1056-33V3,1056-33 W/Blue FDA Material,018578029644
1056-33V3RC,COUPLING 3X3 CI/PL RC BLUE,#N/A
1056-33W,COUPLING 3X3 CI/PL,018578029651
1056-33WM,COUPLING 3X3 CI/PL Menards,018578020344
1056-350,COUPLING 3.5X3.5 PL,018578029668
1056-350A,COUPLING 3.5X3.5 PL 316,018578020177
1056-350RC,"COUPLING 3 1/2""PLX3 1/2""PL RC",018578047174
1056-4/1125,"COUPLING 4""CI/PL-1.125CI/PL",018578006430
1056-4/125,"COUPLING 4""CI/PL-1.25CI/PL",018578012851
1056-415,COUPLING 4X11/2 CI/PL,018578015524
1056-415A,COUPLING 4X11/2 CI/PL 316SS,018578029675
1056-415EB,COUPLING 4X1.50CI/PL EB,018578017009
1056-415RC,"COUP 4""CI/PL-1 1/2""CI/PL RC",#N/A
1056-42,COUPLING 4X2 CI/PL,018578015531
1056-42-WF,COUPLING 4X2 CI/PL,#N/A
1056-42A,"COUPLING 4X2 CI/PL, 316SS",018578020115
1056-42EB,"COUPLING 4""CI/PL-2""CI/PL EB",018578008274
1056-42EBRC,"COUPLING 4""CI/PL-2""CI/PL RC",018578041097
1056-42RC,"Coupling 4""CI/PL-2""CI/PL SR",018578017146
1056-43,COUPLING 4X3 CI/PL,018578015548
1056-43-PP,"PP# 730203 - 4""X3"" CI/PL COUP",#N/A
1056-43-WB,COUPLING 4X3 CI/PL,#N/A
1056-43-WF,COUPLING 4X3 CI/PL,#N/A
1056-43A,COUPLING 4X3 CI/PL 316SS,018578019997
1056-43EB,"COUPLING 4""CI/PL-3""CI/PL EB",018578003033
1056-43EBRC,"COUPLING 4""CI/PL-3""CI/PL RC",018578029750
1056-43EBRC-WB,"COUPLING 4""CI/PL-3""CI/PL RC",#N/A
1056-43RC,COUPLING 4X3 CI/PL RC,018578005921
1056-43RC-WF,COUPLING 4X3 CI/PL RC,#N/A
1056-43W,COUPLING 4X3 CI/PL,018578019805
1056-43WM,COUPLING 4X3 CI/PL Menards,018578020351
1056-44,COUPLING 4X4 CI/PL,018578015555
1056-44_BX,COUPLING 4X4 CI/PL,10018578015552
1056-44-WB,COUPLING 4X4 CI/PL,#N/A
1056-44-WF,COUPLING 4X4 CI/PL,#N/A
1056-442,"COUPLING 4X4X8"" CI/PL",018578006546
1056-442RC,"COUPLING 4X4X8"" CI/PL RC",018578045934
1056-443,"COUPLING 4X4X12"" CI/PL",018578005525
1056-443RC,"COUPLING 4X4X12"" CI/PL RC",018578045941
1056-44A,COUPLING 4X4 CI/PL 316SS,018578018853
1056-44HT,COUPLING 4X4 CI/PL HT,018578029811
1056-44RC,"COUPLING, 4"" CI/PL-4""CI/PL",018578016903
1056-44RC-WB,"COUPLING, 4"" CI/PL-4""CI/PL",#N/A
1056-44RC-WF,"COUPLING, 4"" CI/PL-4""CI/PL",#N/A
1056-44SDRRC,"COUPLING 4""CI/PL -4""S40/SDR RC",018578046429
1056-44SRA,"COUPLING, 4"" CI/PL-4""CI/PL",018578029828
1056-44V3,1056-44 W/BLUE FDA MATERIAL,018578029859
1056-44V3RC,COUPLING 4X4 CI/PL RC BLUE,#N/A
1056-44W,COUPLING 4X4 CI/PL White,018578029866
1056-44WM,COUPLING 4X4 CI/PL Menards,018578020368
1056-44XL,COUPLING 4X4 CI/PL EXTRA LONG,018578029873
1056-44XLRC,COUPLING 4X4 CI/PL XL RC,#N/A
1056-5/125,"COUPLING 5""CI/PL-1-1/4""CI/PL",018578029897
1056-5/150,"COUPLING 5""CI/PL-1-1/2""CI/PL",018578012189
1056-52,"COUPLING 5""CI/PL-2""CI/PL",018578001336
1056-53,COUPLING 5X3 CI/PL,018578003026
1056-53RC,COUPLING 5X3 CI/PL RC,018578040526
1056-53W,COUPLING 5X3 CI/PL WHITE,#N/A
1056-54,COUPLING 5X4 CI/PL,018578015579
1056-54-WB,COUPLING 5X4 CI/PL,#N/A
1056-54A,COUPLING 5X4 CI/PL 316SS,018578029927
1056-54EB,"COUPLING 5""CI/PL-4""CI/PL EB",018578011861
1056-54RC,COUPLING 5X4 CI/PL RC,018578009547
1056-55,COUPLING 5X5 CI/PL,018578001855
1056-552,COUPLING 5X5X8 CI/PL,018578029958
1056-552RC,5x5x8 CI/PL LONG RC,018578045965
1056-55A,COUPLING 5X5 CI/PL 316SS,018578029934
1056-55RC,COUPLING 5X5 CI/PL RC,018578005945
1056-55RC-WF,COUPLING 5X5 CI/PL RC,#N/A
1056-6/125,COUPLING 6X11/4 CI/PL,018578029965
1056-6/125EB,"Coupling 6""CI/PL-1.25""CI/PL EC",018578029972
1056-6/150,"COUPLING 6""CI/PL-1.50CI/PL",018578015098
1056-6/150EB,"COUPLING 6""CI/PL-1.50CI/PL ECC",018578029989
1056-62,"COUPLING 6""CI/PL-2""CI/PL",018578006836
1056-62EB,"COUPLING 6""CI/PL-2""CI/PL EB",018578020498
1056-62RC,"COUPLING 6""CI/PL-2""CI/PL RC",018578047761
1056-63,"COUPLING 6""CI/PL-3""CI/PL",018578001961
1056-63EB,"COUPLING 6""CI/PL-3'CI/PL EB",018578009141
1056-63EB-WF,"COUPLING 6""CI/PL-3'CI/PL EB",#N/A
1056-63EBRC,Coupling 6x3 CI/PL Ecc RC,018578030008
1056-63RC,"COUPLING 6""CI/PL-3""CI/PL RC",018578019058
1056-64,COUPLING 6X4 CI/PL,018578015586
1056-64-GPQ,COUPLING 6X4 CI/PL,#N/A
1056-64-WB,COUPLING 6X4 CI/PL,#N/A
1056-64-WF,COUPLING 6X4 CI/PL,#N/A
1056-64A,COUPLING 6X4 CI/PL 316SS,018578020214
1056-64EB,"COUPLING 6""CI/PL-4""CI/PL EB",018578003699
1056-64EB-WF,"COUPLING 6""CI/PL-4""CI/PL EB",#N/A
1056-64EBRC,COUPLING 6X4 CI/PL RC ECCENTRI,018578014213
1056-64HT,COUPLING 6X4 CI/PL HT,018578030039
1056-64MIB,"COUPLING 6""-4"" CI/PL MIB",#N/A
1056-64RC,"COUPLING 6""CI/PL-4""CI/PL RC",018578005952
1056-64RC-WF,"COUPLING 6""CI/PL-4""CI/PL RC",#N/A
1056-64SDRRC,COUPLING 6X4 CI/PL RC SRD-35,018578048218
1056-64SRA,COUP 6X4 CI/PL SCH 40 SR 316SS,018578047938
1056-65,COUPLING 6X5  CI/PL,018578001510
1056-65A,COUPLING 6X5  CI/PL 316 SS,018578020122
1056-65EB,"COUPLING 6""CI/PL-5""CI/PL EB",018578008069
1056-65EBRC,"COUPLING 6""CI/PL-5""CI/PL EB RC",018578047167
1056-65RC,"COUPLING 6""CI/PL-5""CI/PL SR",018578011182
1056-66,COUPLING 6X6 CI/PL,018578015593
1056-66_BX,COUPLING 6X6 CI/PL,10018578015590
1056-66-GPQ,COUPLING 6X6 CI/PL,#N/A
1056-66-WB,COUPLING 6X6 CI/PL,#N/A
1056-66-WF,COUPLING 6X6 CI/PL,#N/A
1056-662,"COUPLING 6X6X10"" CI/PL",018578006553
1056-662RC,COUPLING 6x6x2 long RC,018578045972
1056-66A,COUPLING 6X6 CI/PL 316SS,018578020016
1056-66HT,COUPLING 6X6 CI/PL HT,018578019256
1056-66RC,"COUPLING 6""CI/PL-6""CI/PL RC",018578015609
1056-66RC-WB,"COUPLING 6""CI/PL-6""CI/PL RC",#N/A
1056-66RC-WF,"COUPLING 6""CI/PL-6""CI/PL RC",#N/A
1056-66SDRRC,"COUPLING 6""CI/PL-6""S40/SDR RC",018578046436
1056-66SRA,"COUPLING 6""CI/PL-6""CI/PL SR 31",018578030114
1056-66V3,1056-66 W/ BLUE FDA MATERIAL,018578030145
1056-8/150,"COUPLING 8'CI/PL-1-1/2""CI/PL",018578030152
1056-82,"COUPLING 8'CI/PL-2""CI/PL",018578008557
1056-82EB,"COUPLING 8'CI/PL-2""CI/PL",018578030176
1056-82EBRC,"COUPLING 8""CI/PL-2""CI/PL EBRC",#N/A
1056-83,"COUPLING 8""CI/PL-3""CI/PL",018578014466
1056-83EB,"COUPLING 8""CI/PL-3""CI/PL EB",018578018594
1056-83EBRC,"COUPLING 8""CI/PL-3""CI/PL EBRC",018578039414
1056-84,"COUPLING 8""CI/PL-4""CI/PL",018578002227
1056-84AEB,"COUPLING8""CI/PL-4""CI/PL EB 316",018578019973
1056-84EB,"COUPLING 8""CI/PL-8""CI/PL EB",018578006201
1056-84EBRC,"COUPLING 8""CI/PL-4""CI/PL EBRC",018578041257
1056-84RC,"COUPLING 8""CI/PL-4""CI/PL SCH40",018578014480
1056-84SDRRC,"COUPLING 8""CI/PL-4""CI/PL SDR35",018578048249
1056-85,"COUPLING 8""CI/PL-5""CI/PL",018578016941
1056-85AEB,"COUPLING 8""CI/PL-5""CI/PL EB316",018578030220
1056-85EB,"COUPLING 8""CI/PL-5""CI/PL ECCEN",018578015067
1056-85RC,"COUPLING 8""CI/PL-5""CI/PL RC",#N/A
1056-86,COUPLING 8X6 CI/PL,018578001664
1056-86-WB,COUPLING 8X6 CI/PL,#N/A
1056-862,COUPLING 8x6 CI/PL-CI/PL XL,#N/A
1056-862RC,COUPLING 8x6 CI/PL-CI/PL XL RC,018578047679
1056-86A,COUPLING 8X6 CI/PL 316 SS,018578018440
1056-86EB,"COUPLING 8""CI/PL-6""CI/PL EB",018578008113
1056-86EBRC,"COUPLING 8""CI/PL-6""CI/PL RC",018578030244
1056-86HT,COUPLING 8X6 CI/PL HT,018578001008
1056-86RC,COUPLING 8X6 CI/PL RC SCH40,018578005976
1056-86SDRRC,"COUPLING 8""CI/PL-6""CI/PL SDR35",018578048515
1056-88,COUPLING 8X8 CI/PL,018578015616
1056-88-GPQ,COUPLING 8X8 CI/PL,#N/A
1056-88-WB,COUPLING 8X8 CI/PL,#N/A
1056-88-WF,COUPLING 8X8 CI/PL,#N/A
1056-882,"COUPLING 8X8X10"" CI/PL",018578003415
1056-882A,"COUPLING 8X8X10"" CI/PL 316",#N/A
1056-882HT,"COUPLING 8X8X10"" CI/PL 316 HT",#N/A
1056-882RC,COUPLING 8x8x10 long RC,018578045989
1056-88A,COUPLING 8X8 CI/PL 316SS,018578018860
1056-88HT,COUPLING 8X8 CI/PL HT,018578030282
1056-88HTRC,"COUPLING 8""CI/PL-8""CI/PL HT RC",#N/A
1056-88RC,"COUPLING 8""CI/PL-8""CI/PL RC",018578005983
1056-88RC-WF,"COUPLING 8""CI/PL-8""CI/PL RC",#N/A
1056-88SRA,"Coupling 8""CI/PL-8""CI/PL SR316",018578030312
1057-1010,"COUPLING 10""CONC-10""DI",018578018945
1057-1010RC,"COUPLING 10""CONC-10""DI  RC",018578013988
1057-12-6,COUPLING 12X6 CONC-DI,018578030343
1057-12-8,"COUPLING 12""CONC-8""DI",018578009066
1057-1210,"COUPLING 12""CONC-10""DI",018578030374
1057-1210LC,"COUPLING 12""CONC-10""DI LARGE",018578030381
1057-1210LCRC,"COUPLING 12""CONC-10""DI LRGE RC",018578048393
1057-1212,"COUPLING 12""CONC-12""DI",018578006737
1057-1212LC,"COUPLING 12""CONC-12""DI LARGE",018578030398
1057-1212LCRC,"COUPLING 12""CONC-12""DI LRGE RC",018578014626
1057-1212RC,"COUPLING 12""CONC-12""DI REPAIR",018578018976
1057-15-8,COUPLING 15X8 CONC-DI,018578030404
1057-15-8EB,COUPLING 15X8 CONC-DI ECC.,018578047402
1057-1510,COUPLING 15X10 CONC-DI,018578030411
1057-1512,COUPLING 15X12 CONC-DI,018578030428
1057-1515,COUPLING 15X15 CONC-DI,018578030435
1057-1515RC,COUPLING 15X15 CONC-DI RC,018578040717
1057-1818,COUPLING 18X18 CONC-DI,018578040670
1057-1818LCRC,"COUPLING 18"" LG CONC-18"" DI RC",018578047532
1057-1818RC,COUPLING 18X18 CONC-DI RC,018578041158
1057-2424,"COUPLING 24""CONC-24""DI",018578039742
1057-2424RC,COUPLING 24X24 CONC-DI RC,018578039896
1057-44,"COUPLING 4""CONC-4""DI",018578007932
1057-44RC,"COUPLING 4""CONC-4""DI RC",018578041127
1057-64,"COUPLING 6""CONC-4""DI",018578030442
1057-66,"COUPLING 6""CONC-6""DI",018578006942
1057-66RC,"COUPLING 6""CONC-6"" DI REPAIR C",018578017573
1057-68,COUPLING 6X8 CONC-DI,018578008441
1057-68EBRC,"COUPLING 6""CONC-8""DI EBRC",018578020412
1057-68RC,"COUPLING 6""CONC-8""DI RC",018578030466
1057-86,COUPLING 8X6 CON-DI,018578030480
1057-86RC,COUPLING 8X6 CON-DI RC,#N/A
1057-88,COUPLING 8X8 CON-DI,018578006522
1057-88RC,"COUPLING 8""CONC-8"" DI REPAIR C",018578014770
1059-150,COUPLING1.5X1.5 PLSOCKET-PL/CI,018578015623
1059-150-WB,COUPLING1.5X1.5 PLSOCKET-PL/CI,#N/A
1059-2/150,"COUPLING 2""X1.5PLSOCKET-PL/CI",#N/A
1059-22,COUPLING 2X2 PL SOCKET-PL/CI,018578015630
1059-22-PP,"PP# 310111 - 2"" SOCKET X CI/PL",#N/A
1059-22-WB,COUPLING 2X2 PL SOCKET-PL/CI,#N/A
1059-22A,COUPLING 2X2 PL SOCKET-PL/CI,018578030510
1059-32,"COUPLING 3""X2"" PLSOCKET-PL/CI",018578012028
1059-33,COUPLING 3X3 PL SOCKET-PL/CI,018578015647
1059-33A,"CPLG 3X3 PL SOCKET-PL/CI,316SS",018578030534
1059-33SBL,COUPLING 3X3 PL SOCKET-PL/CI,018578030541
1059-33W,COUPLING 3X3 PL SOCKET WHITE,018578040748
1059-42,"COUPLING 4""X2"" PLSOCKET-PL/CI",018578018907
1059-43,"COUPLING 4""X3"" PLSOCKET-PL/CI",018578010109
1059-44,COUPLING 4X4 PL SOCKET-PL/CI,018578015654
1059-44W,COUPLING 4X4 PL SOCKET-PL/CI,#N/A
1060-150,PLASTIC SOCKET CONNECTOR,018578015661
1060-150A,PLASTIC SOCKET CONNECTOR 316SS,018578030565
1060-22,PLASTIC SOCKET CONNECTOR,018578015678
1060-22A,PLASTIC SOCKET CONNECTOR 316SS,018578030589
1060-33,PLASTIC SOCKET CONNECTOR,018578015685
1060-33A,PLASTIC SOCKET CONNECTOR 316SS,018578030619
1060-33RC,PLASTIC SOCKET CONN w/ RC,018578019287
1060-44,PLASTIC SOCKET CONNECTOR,018578015692
1060-44A,"PLASTIC SOCKET CONNECTOR,316SS",018578030626
1060-44RC,PLASTIC SOCKET CONN w/ RC,018578047518
1070-10-4HTRC,"COUPLING 10""CORR X 4""CI/PL",#N/A
1070-10-6HTRC,"COUPLING 10""CORR X 6""CI/PL",018578020443
1070-10-8HTRC,"COUPLING 10""CORR X 8""CI/PL",018578019676
1070-10102HTRC,"COUP 10""CORR X 10""CI/PL XL RC",018578047471
1070-1010HTRC,"COUPLING 10""CORR X 10""CI/PL",018578004207
1070-12-4HTRC,"COUPLING 12""CORR X 4""CI/PL",018578041110
1070-12-6HTRC,"COUPLING 12""CORR X 6""CI/PL",018578040021
1070-12-8EBHTRC,"COUPLING 12""CORR X 8""CI/PL EB",018578020474
1070-12-8HTRC,"COUPLING 12""CORR X 8""CI/PL",018578019782
1070-1210HTRC,"COUPLING 12""CORR X 10""CI/PL",018578004214
1070-1212HTRC,"COUPLING 12""CORR X 12""CI/PL",018578004184
1070-15-6HTRC,"COUPLING 15""CORR X 6""CI/PL",#N/A
