catalog_number,description,upc
372656P5,"IRWIN RECIP 6"" 6TPI 5PK",024721001344
372810B,IRWIN RECIP 8IN 10TPI 25PK,024721001702
372810BB,"IRWIN RECIP 8"" 10TPI 50PK BAR CODE",024721088246
372810P5,IRWIN RECIP 8IN 10TPI 5PK,024721001368
372818B,IRWIN RECIP 8IN 18TPI 25PK,024721001740
372818BB,"IRWIN RECIP 8"" 18TPI 50PK BAR CODE",024721088291
372818P5,IRWIN RECIP 8IN 18TPI 5PK,024721001399
372956B,IRWIN RECIP 9IN 6TPI 25PK,024721001719
372956BB,"IRWIN RECIP 9"" 6TPI 50PK BAR CODE",024721088215
372956P5,IRWIN RECIP 9IN 6TPI 5PK,024721001429
372960BB,"IRWIN RECIP 9"" 10TPI 50PK BAR CODE",024721088321
372960P5,"IRWIN RECIP 9"" 10TPI 5PK",024721001733
372966P5,"IRWIN RECIP 9"" 6TPI 5PK",024721001726
373005M,40 PC BI-METAL HOLESAW MERCHANDISER,024721016805
373005MT,EMPTY BI-METAL HOLESAW MERCH,024721019387
373006M,62 PC BI-METAL HOLESAW MERCHANDISER,024721016812
373011BX,BI-METAL 11/16 HOLE SAW BOXED,024721065889
373034BX,BI-MTL 3/4 HOLESAW IRWIN,024721000200
373058BX,BI-MTL 5/8IN HOLESAW IRWIN,024721000170
373078BX,BI-MTL 7/8IN HOLESAW IRWIN,024721000224
373100BX,BI-MTL 1IN HOLESAW IRWIN,024721000231
373110BX,BI-METAL 1-1/16 HOLE SAW BOXED,024721065919
373112BX,BI-MTL 1-1/2IN HOLESAW IRWIN,024721000286
373113BX,BI-METAL 1-13/16 HOLE SAW BOXED,024721065971
373114BX,BI-MTL 1-1/4IN HOLESAW IRWIN,024721000255
373118BX,BI-MTL 1-1/8IN HOLESAW IRWIN,024721000248
373130BX,BI-MTL 1-3/16 HOLE SAW IRWIN,024721065926
373134BX,BI-MTL 1-3/4IN HOLESAW IRWIN,024721000316
373138BX,BI-MTL 1-3/8IN HOLESAW IRWIN,024721000262
373150BX,BI-METAL 1-5/16 HOLE SAW BOXED,024721065933
373158BX,BI-MTL 1-5/8IN HOLESAW IRWIN,024721000293
373170BX,BI-METAL 1-7/16 HOLE SAW BOXED,024721065940
373178BX,BI-MTL 1-7/8IN HOLESAW IRWIN,024721000323
373200BX,BI-MTL 2IN HOLESAW IRWIN,024721000330
373210BX,BI-METAL 2-1/16 HOLE SAW BOXED,024721065988
373212BX,BI-MTL 2-1/2IN HOLESAW IRWIN,024721000385
373214BX,BI-MTL 2-1/4 IN HOLESAW IRWIN,024721000354
373218BX,BI-MTL 2-1/8IN HOLESAW IRWIN,024721000347
373234BX,BI-MTL 2-3/4 HOLESAW IRWIN,024721000460
373238BX,BI-MTL 2-3/8IN HOLESAW IRWIN,024721000361
373250BX,BI-METAL 2-5/16 HOLE SAW BOXED,024721065995
373258BX,BI-METAL 2-5/8 HOLE SAW BOXED,024721066015
373278BX,BI-METAL 2-7/8 HOLE SAW BOXED,024721066022
373290BX,BI-METAL 2-9/16 HOLE SAW BOXED,024721066008
373300BX,BI-MTL 3IN HOLESAW IRWIN,024721000675
373312BX,BI-MTL 3-1/2IN HOLESAW IRWIN,024721001092
373314BX,BI-MTL 3-1/4IN HOLESAW IRWIN,024721001061
373318BX,BI-MTL 3-1/8 HOLE SAW IRWIN,024721066039
373334BX,BI-MTL 3-3/4 HOLE SAW IRWIN,024721066053
373338BX,BI-METAL 3-3/8 HOLE SAW BOXED,024721066046
373358BX,"BI-MTL 3-5/8"" HOLESAW",024721001108
373378BX,BI-METAL 3-7/8 HOLE SAW BOXED,024721066060
373400BX,BI-MTL 4IN HOLESAW IRWIN,024721001191
373412BX,BI-MTL 4-1/2IN HOLESAW IRWIN,024721001252
373414BX,BI-MTL 4-1/4 HOLE SAW IRWIN,024721066077
373418BX,BI-MTL 4-1/8IN HOLESAW IRWIN,024721001238
373434BX,BI-MTL 4-3/4IN HOLESAW IRWIN,024721001276
373438BX,BI-METAL 4-3/8 HOLE SAW BOXED,024721066084
373500BX,BI-MTL 5IN HOLESAW IRWIN,024721017529
373512BX,BI-MTL 5-1/2IN HOLESAW IRWIN,024721017536
373600BX,BI-MTL 6IN HOLESAW IRWIN,024721017550
3820ZR,DIE 1/4-20NC 1 RD ADJ,042526038204
3842338PW1014,PORTA-BAND PW 44-7/8X1/2X020X10/14 25PK,082472384239
3842438PW14,PORTA-BAND PW 44-7/8X1/2X020X14CW 25/PK,082472384246
3842538PW18,PORTA-BAND PW 44-7/8X1/2X020X18CW 25/PK,082472384253
3842738PW1418,PORTA-BAND PW 44-7/8X1/2X020X14/18 25PK,082472384277
39-130,ST TAPE PL 3' KEY,076174391305
394102A,POWER EXT 5/16 IRWIN,024721037664
394103A,POWER EXT 3/8 IRWIN,024721037671
4020ZR,DIE 1/4-20 NC 1-1/2 RD ADJ,042526040207
4022ZR,"SPRING PLIER LCKNG VISE-GRIP FOR 7""",038548040226
4034ZR,DIE 3/8-16 NC 1-1/2 RD ADJ,042526040344
4039ZR,DIE 7/16-14 NC 1-1/2 RD ADJ,042526040399
4045ZR,DIE 1/2-20 NF 1-1/2 RD ADJ,042526040450
4049ZR,DIE 9/16-18 NF 1-1/2 RD ADJ,042526040498
4050ZR,"SPRING PLIER LCKNG VISE-GRIP FOR 9""",038548040509
4052ZR,"SPRING PLIER LCKNG VISE-GRIP FOR 5/6""",038548040523
4058ZR,DIE 3/4-10 NC 1-1/2 RD ADJ,042526040580
4060ZR,DIE 3/4-16 NF 1-1/2 RD ADJ,042526040603
40EXT,CLMP LCKNG 18 inch EXTENSION CHAIN,038548000404
40REP,CLMP LCKNG 18 inch REPLCMNT CHAIN,038548001401
42-074,ST LEVL 24IN IBEAM,076174420746
42-076,ST LEVL 48IN IBEAM,076174420760
42-193,ST LEVL YELLOW PLSTC,076174421934
42-264,ST LEVL 9IN WRKM TORP,076174422641
42-287,ST LEVL CATSEYE,076174422870
42-294,ST LEVL 9IN THRF TORP,076174422948
42-324,ST LEVL 24IN IBEAM,076174423242
42-328,ST LEVL 48IN IBEAM,076174423280
42-465,ST LEVL 9IN TORPEDO,076174424652
42-466,ST LEVL 12IN COMP IBM,076174424669
42-468,ST LEVL 24IN FOAM CMP,076174424683
42-470,"497LEVL 48"" COMP IBM",076174424706
42-480,ST LEVL 48IN PROF WRK,076174424805
43-511,ST LEVL 9IN MAG TORP,076174435115
43-524,"FM LEVL 24""",076174435245
43-525,"FM LEVL 24"" MAGNETIC",076174435252
43-548,"FM LEVL 48""",076174435481
43-549,"FM LEVL 48"" MAGNETIC",076174435498
43-572,"FM LEVL 72""",076174435726
43-605,FATMAX LEVEL 2 VIAL TORPEDO,076174436051
43671PC,BEARING GUIDED DADO,039404130846
43698PC,HINGE MORTISING 5/8IN CUTTER,039404131546
43699PC,HINGE MORTISING,039404131959
43701PC,HINGE MORTISING,039404131553
43703PC,9/16IN HINGE MORTISING CUTTER,039404131171
43704PC,HINGE MORTISING,039404131041
43743PC,"13/32"" STRAIGHT BIT",039404135452
43776PC,17/32 7 DEG DVTL BIT,039404135445
45-011,SQ RAFTER ALUM,076174450118
45-300,ST SQRE ALUM CARPNTR,076174453003
45-500,ST SQRE 500C HNDYMAN,076174455007
45-910,ST SQRE BLUE WRK RFT,076174459104
46-028,ST SQRE 1/2EM COMBO,076174460285
46-053,QUICK SQUARE,076174460537
46-060,ST SQRE POCKET,076174460605
46-067,ST SQRE QUICK W/INST,076174460674
46-071,ST SQRE QUICK,076174460711
46-123,ST SQRE COMBINATION,076174461237
46-131,ST SQRE COMBINATION,076174461312
46-222,ST SQRE 1/2 HDY COMB,076174462227
46-502,ST SQRE THRIFTY TRY,076174465020
46-825,ST SQRE THRIFT BEVEL,076174468250
47-099,ST CHLK 100' REEL,076174470994
47-101,ST CHLK 100' RPLCMNT,076174471014
47-140L,FM CHLK 100'CHLKLINE,076174471403
47-400,ST INTL STUD FINDER,076174474008
47-440,1ST CHLK REEL,076174474404
47-442,ST CHLK REEL W/BLUE,076174474428
47-464,ST CHLK PWRWNDR BLUE,076174474640
47-480L,XT CHLK BOX,076174474800
47-482L,XT CHLK BOX W/ BLUE,076174474824
47-487L,XT CHLK REEL&CHALK,076174474879
47-681L,FM CHLK 100' W/BLUE,076174476811
47-720,STANLEY POST LEVEL,076174477207
47-821,XTREME RED CHLK 8OZ,076174478211
47-822,XTREME BLK CHALK 8OZ,076174478228
47-827,XT CHLK 5LB RED,076174478273
47-828,XT CHLK 5LB BLACK,076174478280
47-973,ST PLUM 8OZ PLUM,076174479737
47-974,ST PLUM 16OZ BOB,076174479744
48113ZR,"AUGR BIT 13/16"" X 18"" X 5/8"" HEX",024721481139
4935321L,PLIER 10IN GJ STRAIGHT JAW PROTOUCH,038548111605
4ZR,VISE T-4 4-1/2 MECH T-4,734442000501
502L3,PLIER LCKNG 10WR 10IN CRVD JAW,038548005041
51-021,FM HMMR 22OZ GRPH,076174510218
51-104,RUBBER MALLET,076174511048
51-162,16OZ AVX CC,076174511628
51-163,XT HMMR 16OZ RIP,076174511635
51-165,XT HMMR 20OZ RIP,076174511659
51-167,XT HMMR 22OZ FRMG,076174511673
51-169,XT HMMR 28OZ FRMG,076174511697
51-505,ST HMMR 16OZ CRV CLW,076174515053
51-508,ST HMMR 20OZ RIP CLW,076174515084
51-613,ST HMMR 7OZ CLW WOOD,076174516135
51-616,ST HMMR 16OZ CRV CLW,076174516166
51-713,ST HMMR 13OZ WD CRV,076174517132
51-716,ST HMMR 16OZ WD RIP,076174517163
518150M,FM 18INCH TOOL BAG,076174939507
54-022,FM HMMR 20OZ BRCK,076174540222
54-024,ST HMMR 24OZ PEIN,076174540246
54-028,FM HMMR 15OZ SHGL,076174540284
54-032,ST HMMR 32OZ PEIN,076174540321
54-304,ST HMMR 5OZ TACKER,076174543049
54-435,HAMMER 24OZ BRICK,076174544350
54-524A,24OZ BALL PEIN HAMMER,076174440881
54-532A,32OZ BALL PEIN HAMMER,076174440898
54-716,ST HMMR 16OZ BPEIN,076174547160
54-925,029PC CONTROL GRIP RATCHET SCREWDRIVER,076174549256
55-033,"ST NAIL CLAW 10""",076174550337
55-035,"ST NAIL PULLER 11""",076174550351
55-045,ST PRYB WNDR BAR,076174550450
55-099,XT PRYB FU BAR,076174550993
55-102,"FM PRYB 24"" BAR",076174551020
55-104,"FM PRYB 36"" BAR",076174551044
55-114,"ST PRYB 10"" CLAW",076174551143
55-115,"ST PRYB 12"" CLAW",076174551150
55-116,"ST PRYB 8"" MDSC",076174551167
55-117,"ST PRYB 10"" MOLD",076174551174
55-118,ST PRYB 18IN RIP,076174551181
55-119,FUBAR 2,076174551198
55-120,FUBAR 30IN UTILITY BAR,076174551204
55-124,ST PRYB 24IN RIP,076174551242
55-126,"FM 10"" CLAWBAR",076174551266
55-130,"ST PRYB 30"" RIP",076174551303
55-136,"ST PRYB 36"" RIP",076174551365
55-503,"FM 24"" SPRING BAR",076174555035
55-504,"FM 36"" SPRING BAR",076174555042
55-515,ST PRYB 13IN WNDRBAR,076174555158
55-515K,ST PRYB WONDER,076174555158
55-525,15-1/2IN SUPER WONDER BAR,076174555257
55-526,ST PRYB 21IN PRY,076174555264
55-818,"ST PRYB 17"" RIP",076174558180
56-003,ST HMMR 2LB BCKSM,076174560039
56-204,ST HMMR 4LB ENGNR,076174562040
56-218,ST HMMR 2.5LB CLKSM,076174562187
57-522,ST HMMR 18OZ SOFT,076174575224
57-530,ST HMMR 10OZ SOFT,076174575309
57-530A,10OZ DEAD BLOW HAMMER,076174440829
57-531A,18OZ DEAD BLOW HAMMER,076174440836
57-532,ST HMMR 2LB SOFT,076174575323
57-532A,28OZ DEAD BLOW HAMMER,076174440843
57-533A,42OZ DEAD BLOW HAMMER,076174440850
57-534A,52OZ DEAD BLOW HAMMER,076174440867
57-540,ST HMMR 5OZ SOFT,076174575408
57-540A,SHELL 5OZ SLIMLINE SOFT FACE HAMMER,076174440904
57-541,ST HMMR 14OZ SOFTSLOTTED,076174575415
57-541A,SHELL 14OZ SLIMLINE SOFT FACE HAMMER,076174440911
57-542,ST HMMR 18OZ SOFT,076174575422
57-542A,SHELL 18OZ SLIMLINE SOFT FACE HAMMER,076174440928
57-543,ST HMMR 21OZ SOFT,076174575439
57-543A,SHELL 21OZ SLIMLINE SOFT FACE HAMMER,076174440935
57-550,ST HMMR 5LB SOFT,076174575507
57-550A,SHELL 5.5LB SOFT FACE LONG HANDLE SLED,076174440942
57-552,ST HMMR 10.5LB SOFT,076174575521
57-552A,SHELL 10.5LB SOFT FACE LONG HANDLE SLED,076174440959
57-554,ST HMMR 11.5LB SOFT,076174575545
57-554A,SHELL 11.5LB SOFT FACE LONG HANDLE SLED,076174440966
57-594,ST HMMR 8OZ SOFT,076174575941
58-111,ST NAIL SET 1/32 IN.,076174581119
58-112,ST NAILSET 2/32 INCH,076174581126
58-113,ST NAILSET 3/32 INCH,076174581133
58-114,ST NAILSET 4/32 IN.,076174581140
58-230,ST NAILSET 3PC,076174582307
58-911,ST NAILSET 1/32 INCH,076174589115
58-912,ST NAILSET 2/32 INCH,076174589122
58-913,ST NAILSET 3/32 IN.,076174589139
58-930,ST NAILSET 3PC,076174589306
59100CD,HANDI CLMP 1.5IN COUNTER DISPLY,038548591001
59200CD,HANDI CLMP 2IN COUNTER DISPLY,038548592008
59400CD,HANDI CLMP 4IN COUNTER DISPLY,038548594002
59430CD,HANDI CLMP 4IN COUNTER DISPLAY,038548594002
60221ZR,DRL BIT 21PC SET,042526602214
60510ZR,DRL 5/32 GP JL 118' BRT CARDED,042526605109
62104ZR,"DRL 1/16 A12 12"" 135' BLK OX POUCHED",042526621048
62112ZR,"DRL 3/16 A12 12"" 135' BLK OX POUCH",042526621123
62-546,ST SCD NUTDRVR MM ST,076174625462
62-574,20PC MULITBIT SD SET,076174625745
63105ZR,DRL 5/64 COB JL 135' BULK,042526631054
63112ZR,DRL 3/16 COB JL 135' BULK,042526631122
63113ZR,DRL 13/64 COB JL 135' BULK,042526631139
63137ZR,JUEGO DE BROCAS HSS DE COBALTO 15 PZ D,024721631374
6323ZR,"DIE 5-0 9MM 5/8"" HEX",042526063237
63520ZR,DRL 5/16 HD JL 135' BLK OX BULK,042526635205
63521ZR,DRL 21/64 HD JL 135' BLK OX BULK,042526635212
63523ZR,DRL 23/64 HD JL 135' BLK OX BULK,042526635236
63524ZR,DRL 3/8 HD JL 135' BLK OX BULK,042526635243
63525ZR,DRL 25/64 HD JL 135' BLK OX BULK,042526635250
63526ZR,DRL 13/32 HD JL 135' BLK OX BULK,042526635267
63527ZR,DRL 27/64 HD JL 135' BLK OX BULK,042526635274
63528ZR,DRL 7/16 HD JL 135' BLK OX BULK,042526635281
64-100-A,SCDR PHIL 0 PT 3IN,076174808001
64-101-A,100+ SCDR PHIL 1 PT 3IN,076174808018
64-102-A,100+ SCDR PHIL 2 PT 4IN,076174808025
64-103-A,100+ SCDR PHIL 3 PT 6IN,076174808032
64-104-A,100+ SCDR PHIL 4 PT 8IN,076174808049
64-105-A,100+ SCDR PHIL 2 PT Stubby,076174808056
64-170-A,SCDR POCKET 0 PT,076174808063
64-171-A,100+ SCDR PHIL 1 PT 10IN,076174808070
64-172-A,100+ SCDR PHIL 2 PT 10IN,076174808087
64-173-A,100 + SCDR SQ2 4IN,076174641738
64-174-A,100 + SCDR SQ1 3IN,076174641745
64-175-A,100 + SCDR T10 3IN,076174641752
64-177-A,100 + SCDR T20 3IN,076174641776
64801ZR,CHALK 4OZ BLUE,024721500014
64905ZR,CHALK 8OZ FLSCNT ORNG,024721649058
65101ZR,5 LB. BLUE CHALK STANDARD,024721500205
651S5,BOS STAPLER 7/16X2,077914054047
6520ZR,DIE 1/4IN-20NC 1IN HEX,042526065200
6523ZR,DIE 1/4IN-28NF 1IN HEX,042526065231
6534ZR,DIE 3/8IN-16NC 1IN HEX,042526065347
65-901,"ST SCD 1PT 3"" PHILPS",076174659016
65-902,"ST SCD 2PT 4"" PHILPS",076174659023
65-903,"ST SCD 3PT 6"" PHILPS",076174659030
65-905,"ST SCD 2PT 11/2"" PHL",076174659054
66-011-A,100+ 6IN SLOTTED 1/4IN,076174808094
66-013-A,100+ SCDR 5/16IN STD 8IN,076174808100
66-015-A,100+ SCDR 3/16IN STD SQ,076174808117
66-018-A,100+ SCDR 3/16IN STD SQ,076174808124
66-039,ST JEWELERS SET,076174660395
66-052,ST SCD 6PC PRECISION,076174660524
66-088,"ST SCD STUBBY 1 1/2""",076174660883
66-089,ST SCDR 3IN STD,076174660890
66-090,ST SCDR 4IN STD,076174660906
66-091,ST SCDR 6IN STD,076174660913
66-092,"ST SCDR 8"" STD",076174660920
66-097,ST SCDR 6IN CABINET,076174660975
66-101-A,100+ SCDR 2IN PCKT 1/8IN,076174808131
66-102-A,100+ SCDR 3IN PCKT 3/32IN,076174808148
66-103-A,100+ SCDR 4IN PCKT 3/32IN,076174808155
66-110-A,100+ SCDR 1/8IN CAB TIP 10IN,076174808162
66-112-A,100+ SCDR 1/8IN CAB TIP 2IN,076174808179
66-113-A,100+ SCDR 1/8IN CAB TIP 3IN,076174808186
66-114-A,100+ SCDR 1/8IN CAB TIP 4IN,076174808193
66-116-A,100+ SCDR 1/8IN CAB TIP 6IN,076174808209
66-118-A,100+ SCDR 1/8IN CAB TIP 8IN,076174808216
66-150-A,5PC 100+ S/D SET,076174808414
66-156-A,5PC 100+ S/D SET PHIL,076174808421
66-157-A,7PC 100+ S/D SET,076174808438
66-158-A,8PC 100+ S/D SET,076174808445
66-160-A,100+ SCDR 3/8IN STD 10IN,076174808230
66-161-A,100+ SCDR STUBBY 1/4IN,076174808247
66-162-A,100+ SCDR 3/8IN STD 12IN,076174808254
66-163-A,100+ SCDR STD 7/32IN,076174808261
66-164-A,100+ SCDR STD 1/4IN,076174808278
66-166-A,100+ SCDR 5/16IN STD 6IN,076174808285
66-168-A,100+ SCDR 3/8IN STD 8IN,076174808292
66-170-A,100+ SCDR 1/2IN STD SQ 10IN,076174808308
66-172-A,100+ SCDR 1/2IN STD SQ 12IN,076174808315
66-174-A,100+ SCDR 1/4IN STD SQ,076174808322
66-176-A,100+ SCDR 5/16IN STD SQ,076174808339
66-178-A,100+ SCDR 3/8IN STD SQ,076174808346
66-180-A,100+ SCDR 3/16IN CAB TIP 10IN,076174808353
66-182-A,100+ SCDR 3/16IN CAB TIP 12IN,076174808360
66-183-A,100+ SCDR 3/16IN CAB TIP 3IN,076174808377
66-186-A,100+ SCDR 3/16IN CAB TIP 6IN,076174808384
66-188-A,100+ SCDR 3/16IN CAB TIP 8IN,076174808391
66305SL,PENCIL 72PC MED,024721028150
66-358,RACHETING STUBBY MB,076174663587
66401ZR,CRAYON RED BULK,024721664013
6642ZR,DIE 12-1 25MM 1IN HEX,042526066429
66-520-A,18PC 100+ S/D SET,076174808452
66-565,ST SCDR 6PC CONT,076174665659
66-569,8PCS NEWSET RDW/POUCH-replaced 66-568SQ,885911631105
66704ZR,"DRL 1/16 A6 6"" 135' BLK OX CARDED",042526667046
66720ZR,"DRL 5/16 A6 6"" 135' BLK OX CARDED",042526667206
67-737,"7-1/4"" 24T CARBIDE SAW BLADES - BULK",028874677371
67-757,"7-1/4"" 40T CARBIDE SAW BLADES - BULK",028874677579
68-010,ST SCD RATCHET 10BIT,076174680102
68-012,001PC CONTROL GRIP 6 WAY SCREWDRIVER,076174680126
6860ZR,DIE 3/4-16 1 7/16 NF SH,042526068607
69-122,ST SCD AWL SCRATCH,076174691221
69-189,FATMAX RATCHETING MB,076174691894
6949ZR,DIE 14MM-1.25 1 7/16 SH,042526069499
6950ZR,DIE 14MM-1.5 1-7/16 SH,042526069505
702L3,PLIER LCKNG 7WR 7IN CRVD JAW,038548007045
70-603,"3"" CRIMPED WIRE WHL COARSE 1/4"" SHANK",028877544779
71-081,10 D/E SCREWDRIVING BIT SET,028877353135
71-120,5 PC HOLE SAW ASSORTMENT,028874711204
71-91291,129 PC COMPLETE HOME ESSENTIALS SET,885911150101
7227ZR,DIE 5/16-18 11/16 NC HRT,042526072277
7248ZR,DIE 9/16-12 1 1/16 NC HRT,042526072482
7249ZR,DIE 9/16-18 1 1/16 NF HRT,042526072499
7258ZR,DIE 3/4-10 1 7/16 NC HRT,042526072581
73318ZR,DRL 9/32 TMX JL 135' CARDED,024721733184
7346SP,6IN VS Right Angle RO Sander/Polisher,885911064460
73625ZR,DRL 25/64 TMXR JL 135' CARDED,024721736253
73627ZR,DRL 27/64 TMXR JL 135' CARDED,024721736277
73628ZR,DRL 7/16 TMXR JL 135' CARDED,024721736284
73629ZR,DRL 29/64 TMXR JL 135' CARDED,024721736291
73630ZR,DRL 15/32 TMXR JL 135' CARDED,024721736307
7365ZR,DIE 22MM-1.5 HRT,042526073656
73832ZR,DRL 1/2 GPR JL 118' BRT CARDED,042526738326
7403ZR,DIE 1/4-18 NPT HRT,042526074035
7424XP,"6"" VARIABLE SPEED RANDOM ORBIT POLISHER",885911086394
74-580,MOUSE SANDING/POLISING KIT,028874745803
74-591,LARGE WOOD CUTTING BLADE,028877360010
74-598,NAVIGATOR COMBO SET,028877455211
74-606,6 PK ASSORTED 1/4 SHEET PAPER,885911061896
7544ZR,DIE 1/2-13 1 LH RD ADJ,042526075445
75-626,24 PK JIGSAW BLADE ASSORTMENT,028877301211
757KB,PLIERS LCKNG ORIGNAL 7PC KIT BAG SET,038548007571
77-050,STUD ENSOR 50,076174770506
77-740,"10"" 32T CARBIDE SAW BLADE",028874777408
77-757,"7-1/4"" 40T CARBIDE SAW BLADE",028874777576
79080-5,DRYWALL 5PK 80,039404104120
79100-5,DRYWALL 5PK100,039404104106
79120-5,DRYWALL 5PK120,039404104090
79150-5,DRYWALL 5PK150,039404104076
79180-5,DRYWALL 5PK180,039404104045
79220-5,DRYWALL 5PK220,039404104021
8009838PW10145,PORTA-BAND PW44-7/8X1/2X020X10/14CW 5PK,082472800982
8009938PW14185,PORTA-BAND PW 44-7/8X1/2X020X14/18 5/PK,082472800999
8010738PW145,PORTA-BAND PW 44-7/8X1/2X020X14CW 5/PK,082472801071
8010838PW185,PORTA-BAND PW 44-7/8X1/2X020X18CW 5/PK,082472801088
8010938PW245,PORTA-BAND PW 44-7/8X1/2X020X24CW 5/PK,082472801095
8011238EW1418,PORTA-BAND 44-7/8X1/2X023X14/18T 3/PK,082472801125
8011438EW1014,PORTA-BAND 44-7/8X1/2X023X10/14T 3/PK,082472801149
8011538EW14,PORTA-BAND 44-7/8X1/2X023X14TW 3/PK,082472801156
8011638EW18,PORTA-BAND 44-7/8X1/2X023X18CW 3/PK,082472801163
8011738EW24,PORTA-BAND 44-7/8X1/2X023X24TW 3/PK,082472801170
80142385EW1418,PORTA-BAND44-7/8X1/2X025X14/18 3PK,082472801422
80144385EW1014,PORTA-BAND 44-7/8X1/2X025X10/14 3PK,082472801446
80145385EW14,PORTA-BAND 44-7/8X1/2X025X14R 3PK,082472801453
8107ZR,LCKNG CLMPS ORIGINAL 8PC,038548081076
81110ZR,DRL #10 GPW JL 118' BRT CARDED,024721811103
81120ZR,DRL #20 GPW JL 118' BRT CARDED,024721811202
81122ZR,DRL #22 GPW JL 118' BRT CARDED,024721811226
81123ZR,DRL #23 GPW JL 118' BRT CARDED,024721811233
81124ZR,DRL #24 GPW JL 118' BRT CARDED,024721811240
81127ZR,DRL #27 GPW JL 118' BRT CARDED,024721811271
81128ZR,DRL #28 GPW JL 118' BRT CARDED,024721811288
81130ZR,DRL #30 GPW JL 118' BRT CARDED,024721811301
81153ZR,DRL #53 GPW JL 118' BRT CARDED,024721811530
81157ZR,DRL #57 GPW JL 118' BRT CARDED,024721811578
81159ZR,DRL #59 GPW JL 118' BRT CARDED,024721811592
8152ZR,TAP 5/8-11 NC PLUG,042526081521
8158ZR,TAP 3/4-10 NC PLUG,042526081583
82-115,ST PLRS 4PC HOOK SET,076174821154
82310385EW18,PORTA-BAND 44-7/8X1/2X025X18R 3PK,082472823103
83-069M,MS SWIVEL BASE VISE,076174830699
8322ZR,TAP 5MM-0.8 PLUG,042526083228
8323ZR,TAP 5MM-0.9 PLUG,042526083235
8342ZR,TAP 12-1 25MM PLUG,042526083426
8344ZR,TAP 12-1 75MM PLUG,042526083440
84-024,ST PLRS 10IN GRVE JNT,076174840247
84-026,ST PLRS 8IN SLIP JNT,076174840261
84-027,"ST PLRS 6"" DIAGNL",076174840278
84-028,ST PLRS 7IN DIAGNL,076174840285
84-029,ST PLRS 8IN LINESMAN,076174840292
84-031W,"WM 6"" BIMATLONGNOSE",076174840315
84-032,ST PLRS 8IN LONGNOSE,076174840322
84-034,"ST PLRS 8"" GRV JNT",076174840346
84-055,ST PLRS 6IN SLIP JNT,076174840551
84-056,3 PC BIMAT PLIERS SET,076174840568
84-058,ST PLRS 4PC BIMAT,076174840582
84-079,ST PLRS 6PC MINI SET,076174840797
84-096,ST PLRS 5IN NEEDLE,076174840964
84-097,ST PLRS 6inch SLIP JNT,076174840971
84-098,ST PLRS 8IN SLIP JNT,076174840988
84-101,ST PLRS 6IN LONGNOSE,076174841015
84-102,ST PLRS 8IN LONGNOSE,076174841022
84-104,ST PLRS 5IN DIAGNL,076174841046
84-105,ST PLRS 6IN DIAGNL,076174841053
84-108,ST PLRS 7IN DIAGNL,076174841084
84-109,ST PLRS 8IN GROOVE,076174841091
84-110,ST PLRS 10inch GRVE JNT,076174841107
84-111,ST PLRS 12inch GRVE JNT,076174841114
84-113,"ST PLRS 8"" LINESMAN",076174841138
84-114,ST PLRS 3PC SET,076174841145
84-212,ST PLRS 2PC 6IN SET,076174842128
84-213,ST PLRS WIRE STIPPER,076174842135
84-507,12inch MAXSTEELGJPLIERS,076174845075
84-519K,12IN MULTI TOOL W/HOLSTER,076174845198
84-550,MF 8 PUSHLOCK PLIER,076174845501
84-559,MF 10 PUSHLOCK PLIER,076174845594
84-566,MF12 PUSHLOCK PLIER,076174845662
84-647,FMX 8IN GRV JT PLIER,076174846478
84-648,XTR 10IN GRV JT PLRS,076174846485
84-649,FMX 12IN GV JT PLIER,076174846492
85-388,021PC 14DR SOCKET SET SAE,076174403688
85-404,020PC 38DR SOCKET SET SAE,076174403701
85-405,034PC 38DR SOCKET SET SAE/MM,076174403718
85-425,017PC 12DR SOCKET SET SAE,076174403732
85-434,026PC 12DR SOCKET SET SAE,076174403749
85-595,075PC 14/38DR MECH TOOL SET,076174400014
85-610,ST WREN 10IN ADJUSTBL,076174856101
8564ZR,DIE 20MM-2.5 1 13/16 SH,042526085642
8565ZR,DIE 22MM-1.5 1 13/16 SH,042526085659
85-753,022PC LONG ARM HEX KEY SET SAE/MM,076174857535
85-927,006PC COMB. WRENCH SET SAE (CWE),076174859270
85-928,006PC COMB. WRENCH SET MM (CWE),076174859287
85-956,016PC 12DR SOCKET SET MM,076174859560
85-990,014PC COMB. WRENCH SET SAE (CWF) MATTE,076174859904
86-208,001PC 38DR EXTENSION BAR-10IN,076174862089
86-214,001PC ADAPTOR 38FX14M,076174401660
86-215,001PC ADAPTOR 38FX12M,076174862157
86-406,001PC 12DR EXTENSION BAR-2.5IN,076174402117
86-413,001PC 12DR FLEX HANDLE-17IN,076174402148
86-414,001PC ADAPTOR 12FX38M,076174402155
87-244,013PC COMB. WRENCH SET SAE (CWAS),076174872446
87-367,"ST WREN 6"" ADJUSTBLE",076174873672
87-369,ST WREN 8IN ADJUSTBLE,076174873696
87-471,ST WRENCH 10IN ADJUSTABLE,076174874716
87-473,ST WREN 12IN ADJUSTBL,076174874730
87-622,10IN PIPE WRENCH,076174876222
87-624,14IN PIPE WRENCH,076174876246
89-718,001PC COMB. WRENCH 1-1/2 (CWF),076174404562
89-817,001PC 14DR PEAR HEAD RATCHET-NHP7,076174898170
