item_number,catalog_number,upc,item_description
04404,DMPVCCOMPLETE,757033044043,DMPVC COMPLETE
04418,DMPVC3/4,757033044180,"DMPVC3/4 KIT FOR 3/4"" DRILLING ONLY"
04420,DMPVC1,757033044203,"DMPVC1 KIT FOR 1"" DRILLING ONLY"
04423,FTPLAA,757033044234,"FTPLAA- FEED TAP 1 1/2-2""  ADAPTER"
04424,DMP716A,757033044241,DMP716 RATCHET HANDLE
04426,DMCA75PVC,757033044265,DMCA75PVC 3/4IN CORP ADPT ASSEMBLY
04427,DMCA100PVC,757033044272,DMCA100PVC 1IN CORP ADPT ASSEMBLY
04430,DEB4,757033044302,DEB4 DEBURRING TOOL
04431,DEB200,757033044319,"DEB200 REAMER 3/8 - 2""COPPER, STEEL, PVC"
04434,DEBO,757033044340,DEB0 DEBURRING TOOL FOR COPPER
04436,DEB2,757033044364,DEB2 DEBURRING CONE FOR PVC TO 2IN
04437,DEB3,757033044371,DEB3 DEBURRING TOOL - 3 BLADES
04438,PDEB250,757033044388,"CONE CHAMFER 3/4"" - 2 1/2"" IN, DP/MANUAL"
04439,PPJFA,757033044395,PPJFA FITTING ATTACHMENT
04441,PPJVS,757033044418,PPJVS UNIV. SADDLES ONLY-PAIRS
04442,PPJ4S,757033044425,PPJ4S 4.500 SADDLE-PAIR
04444,PPJ6S,757033044449,PPJ6S 6.625 SADDLE-PAIR
04446,PPJ,757033044463,PPJ PIPE JOINER
04447,PPJ8S,757033044470,PPJ8S 8.625 SADDLE-PAIR
04448,PPJ10S,757033044487,PPJ10S 10.750 SADDLE-PAIR
04449,PPJ12S,757033044494,PPJ12S 12.750 SADDLE-PAIR
04456,R450PAL,757033044562,R450PAL TRIPOD F/PLASTIC W/ALUMINUM LEGS
04457,R450P,757033044579,R450P TRIPOD FOR PLASTIC 1/8-6IN
04458,R450C,757033044586,R450C  CLEANROOM TRIPOD VISE
04459,R470P,757033044593,R470P TRIPOD FOR PLASTIC PIPE
04463,PLASOH,757033044630,"PLASOH HAND/HAND 4 TO 8"""
04464,PLASOHPE,757033044647,"PLASOHPE HAND/HAND 4 TO 8"""
04468,PLASOH12PE,757033044685,"PLASOH12PE H/H 4 TO 12"""
04469,PLASOH12,757033044692,"PLASOH12 H/H 4 TO 12"""
04470,PLAS1,757033044708,PLAS1 LARGE DIA PIPE CUTTER 6-12IN
04471,PLASA,757033044715,PLASA A SEC LARGE DIA PIPE CUTR
04474,PLAS1PE,757033044746,PLAS1PE PIPE CUTTER W/PE BLADE
04475,PLAS2,757033044753,PLAS2 LARGE DIA PIPE CUTTER 14-18IN
04476,PLASB,757033044760,PLASB B SECT F/LARGE DIA PIPE CUTR
04477,PLAS2PE,757033044777,PLAS2 PE PIPE CUTTER W/PE BLADE
04478,Z814,757033044784,Z814 PWR HACKSAW BLD 8IN-14 TPI
04479,Z1014,757033044791,Z1014 PWR HACK SAW BLD-10IN -14 TPI
04480,PLAS3,757033044807,PLAS3 PIPE CUTTER
04481,PLASC,757033044814,PLASC C SECT F/LARGE DIA PIPE CUTR
04483,PLAS3PE,757033044838,PLAS3PE PIPE CUTTER W/PE BLADE
04485,PLAS4,757033044852,PLAS4 LARGE DIA PIPE CUTTER 14-28IN
04486,PLASD,757033044869,PLASD D SEC LARGE DIA PIPE CUTR
04487,PLAS4PE,757033044876,PLAS4PE PIPE CUTTER W/PE BLADE
04489,HK1228,757033044890,HK1228 HACK SAW COMPLETE
04491,BH18,757033044913,BH18 HACK SAW BLD-12IN-18 10/PACK
04492,BH24,757033044920,BH24 HACK SAW BLD-12IN-24 10/PACK
04493,BH32,757033044937,BH32 HACK SAW BLD-12IN-32 10/PACK
04494,Z1214,757033044944,Z1214 PWR HACK SAW BLADES 12 1-14TP
04495,Z1614,757033044951,Z1614 PWR HACK SAW BLADES 16 1-14TP
04496,Z2114,757033044968,Z2114 PWR HACK SAW BLADES 21 1-14TP
04497,Z2414,757033044975,Z2414 PWR HACK SAW BLADES 24 1-14TP
04498,Z3014,757033044982,Z3014 PWR HACK SAW BLADES 30 1-14TP
04499,Z1608,757033044999,Z1608 PWR HACK SAW BLADES 16 1-8TP
04500,IC1A,757033045002,IC1A INTERNAL PVC CUTTER ABRASIVE B
04501,IC1S,757033045019,IC1S INTERNAL PVC CUTTER SAW TOOTH
04502,IC1RA,757033045026,IC1RA REPLACEMENT ABRASIVE BLADE
04503,IC1RS,757033045033,IC1RS REPLACEMENT SAW TOOTHED BLADE
04505,IC1SL,757033045057,IC1SL LONG INT PVC CTTR SAW BLADE
04507,IC3/4SL,757033045071,IC3/4SL LONG INT PVC CTTR SAW BLADE
04508,IC3/4RS,757033045088,IC3/4RS REPLACEMENT SAW TOOTH 2PK
04509,IC7/8RS,757033045095,IC7/8RS REPLACEMENT SAW TOOTH 2PK
04510,PPS18,757033045101,PPS18 PLASTIC PIPE SAW
04512,PPS12,757033045125,PPS12 PLASTIC PIPE SAW
04517,CRP150,757033045170,"CRP150 1-1/2"" CLEAN REAM"
04518,CRP200,757033045187,"CRP200 2"" CLEAN REAM"
04521,PPR75,757033045217,"PPR75 3/4"" PLASTIC PIPE REAMER"
04522,PPR100,757033045224,"PPR100 1"" PLASTIC PIPE REAMER"
04523,PPR125,757033045231,"PPR125 1-1/4"" PLASTIC PIPE REAMER"
04524,PPR150,757033045248,"PPR150 1-1/2"" PLASTIC PIPE REAMER"
04525,PPR200,757033045255,"PPR200 2"" PLASTIC PIPE REAMER"
04526,PPR300,757033045262,"PPR300 3"" PLASTIC PIPE REAMER"
04527,PPR400,757033045279,"PPR400 4"" PLASTIC PIPE REAMER"
04528,PPRK4,757033045286,PPRK4 PLASTIC PIPE REAMER ST W/CASE
04532,PPR250,757033045323,"PPR250 2.5""PLASTIC PIPE REAMER"
04561,HSPD,757033045613,HSPD PILOT 4 5/16 X 1/4 PKGD
04564,TFR400,757033045644,"TOILET FLANGE REAMER 4"""
04597,Z2108,757033045972,"Z2108 PWR HCK SAW BLDE -21"" FOR PE"
04600,SAWITVISE,757033046009,SAWITVISE ASSEMBLY
04602,SAWITBG21,757033046023,"SAWITBG21 SAW GUIDE 21"""
04603,SAWITBG30,757033046030,"SAWITBG30 SAW GUIDE 30"""
04605,HPC4+,757033046054,HPC4+ GUILLOTINE PIPE CUTTER
04609,HPC8+,757033046092,HPC8+ HINGED PLAST CUTTER 3-8 IN CAP
04612,HPC12,757033046122,"HPC12 12"" GUILLOTINE CUTTER"
04621,PEGR7,757033046214,PEGR7 STATIC GROUNDING DEVICE
04622,PEGRM,757033046221,PEGRM STATIC GROUNDING DEVICE
04624,PEP1IPS7,757033046245,TRUE PEEL 1 IPS DR7 .188W
04625,PEP125CTS11,757033046252,TRUE PEEL 1-1/4 CTS DR11 .121W
04626,PEP125IPS10,757033046269,TRUE PEEL 1-1/4 IPS DR10
04627,PEP1CTS7,757033046276,TRUE PEEL 1 CTS DR7 .161W
04631,PEPEEL6,757033046313,"PE PEELER/ ELECTRO FUSION 1-1/2""-6"""
04632,PEPEEL12,757033046320,"PE PEELER F/ ELECTRO FUSION 6""-12"""
04633,PEPEELBR,757033046337,PE PEELER BLADE REPLACEMENT
04634,PEP50CTS7,757033046344,TRUE PEEL 1/2 CTS DR11
04635,PEP75IPS11,757033046351,TRUE PEEL 3/4 IPS DR11
04636,PEP1CTS115,757033046368,TRUE PEEL 1 CTS DR11
04637,PEP1IPS11,757033046375,TRUE PEEL 1 IPS DR11
04638,PEP125IPS11,757033046382,TRUE PEEL 1-1/4 IPS DR11
04639,PEP2IPS11,757033046399,TRUE PEEL 2 DR11
04641,CPB,757033046412,CPB BASE UNIT W/RBIT1 (NO GRINDER)
04646,CPBBADP,757033046467,CPB BOSCH ADAPTER
04648,CPBDADP,757033046481,CPB DEWALT ADAPTER
04649,CPBMADP,757033046498,CPB MILWAUKEE ADAPTER
04650,DEB1IPS,757033046504,"DEB1IPS DEBURR IPS 1/2, 3/4, 1"
04651,PDEB1IPS,757033046511,PDEB1IPS POWER VERSION
04652,DEB1CTS,757033046528,DEBUR TOOL CTS 1/2 - 1
04654,DEB1-2IPS,757033046542,"DEB1-2 IPS 1-1/4-2"" OD DEBUR TOOL"
04655,DEB1M,757033046559,"DEB1M 20, 25, 32 MM"
04656,DEB1-2CTS,757033046566,"DEB1-2 CTS 1-1/4-2"" OD DEBUR TOOL"
04657,PDEB1-2IPS,757033046573,PDEB1-2IPS 1-1/4-2 OD
04658,CPBDBT,757033046580,CPBDBT BASE TOOL DEWALT SYSTEM
04659,CPBDK,757033046597,CPBDK DEWALT KIT COMPLETE
04660,PBKIT,757033046603,PBKIT DRILL-POWERED CHAMFER KIT
04662,PB2,757033046627,"PB2 DRILL-POWERED CHAMFER TOOL 2"""
04663,PB3,757033046634,"PB3 DRILL-POWERED CHAMFER TOOL 3"""
04664,PB4,757033046641,"PB4 DRILL-POWERED CHAMFER TOOL 4"""
04666,CPBDKE,757033046665,CPBDKE BEVEL KIT NO BATTERY/CHARGER
04670,DEB1IPS-INT,757033046702,"DEB1IPS-INT  I/O CHAM TOOL 1/2-1"""
04671,CPBMADP29,757033046719,CPB MILWAUKEE  ADAPTER 29
04683,PEP63MM,757033046832,TRUE PEEL 63mm
04703,PES2METRIC,757033047037,PES2 W/METRIC STOPS F/SDR17&17.6 & 11
04705,PES4METRIC,757033047051,PES4METRIC WITH STOPS F/SDR17&17.6 & 11
04720,PPS20,757033047204,PPS20 PLASTIC PIPE SAW
04724,PPS24,757033047242,PPS24 PLASTIC PIPE SAW
04760,TRC1S,757033047600,"TRC1S THREADED ROD CUTTER 3/8"""
04761,TRC2D,757033047617,"TRC2D THREADED ROD CTR 3/8"" & 1/2"""
04765,TRCD1/4,757033047655,"TRCD1/4 REPLACEMENT DIES 1/4"""
04767,TRCD3/8,757033047679,"TRCD3/8 REPLACEMENT DIES 3/8"""
04768,TRDC1/2,757033047686,"TRDC1/2 REPLACEMENT DIES 1/2"""
04900,PXCR12S,757033049000,"PXCR12S CRIMPER, 1/2, PEX, SHT HDL"
04903,PXCR34S,757033049031,"PXCR34S CRIMPER, 3/4, PEX, SHT HDL"
04904,PXCR1M,757033049048,"PXCR1M CRIMPER, 1"" MED HANDLE"
04910,PXCR1234M,757033049109,"PXCR1234M CRIMPER, 1/2-3/4, PEX, MD"
04920,PEXOH12,757033049208,"PEXOH12 ONE HAND CRIMPER 1/2"""
04925,PEXOH34,757033049253,"PEXOH34 ONE HAND CRIMPER 3/4"""
05151,SD84-4,757033051515,SD84-4 THREADER SET 1/2-2IN
05200,DH82-4,757033052000,DH82-4 DROP HD THRDR SET 1/2 -1 1/4
05201,DH82-3,757033052017,DH82-3 DROP HD THRDR SET 3/8 -1 1/4
05202,DH81-2,757033052024,DH81-2 DROP HD THRDR SET 1/4 -1 NPT
05204,DH81-4,757033052048,DH81-4 DROP HD THRDR SET 1/2 -1 NPT
05210,R11 1/4NPT,757033052109,R11 1/4NPT 1/4IN NPT DROP HEAD COMP
05211,R11 3/8NPT,757033052116,R11 3/8NPT 3/8IN NPT DROP HEAD COMP
05212,R11 1/2NPT,757033052123,R11 1/2NPT 1/2IN NPT DROP HEAD COMP
05213,R11 3/4NPT,757033052130,R11 3/4NPT 3/4IN NPT DROP HEAD COMP
05214,R11 1NPT,757033052147,R11 1NPT 1IN NPT DROP HEAD COMPLETE
05215,R11 1 1/4NPT,757033052154,R11 11/4NPT 1 1/4IN NPT DROP HEAD
05222,DH84-4,757033052222,DH84-4 DROPHEAD THRD SET 1/2 - 2IN
05223,DH84-5,757033052239,DH84-5 DROPHEAD THRD SET 3/4 - 2IN
05224,DH84-6,757033052246,DH84-6 DROPHEAD THRD SET 1 - 2IN
05225,DH84-7,757033052253,DH84-7 DROPHEAD THRD SET 1-1/4 -2IN
05226,R15 1 1/2NPT,757033052260,R15 1 1/2 NPT 1 1/2IN NPT DROP HEAD
05227,R20 2NPT,757033052277,R20 2 NPT  2IN NPT DROP HEAD COMP
05230,R11SC,757033052307,R11SC RATCHET RING & HNDL-DROP HEAD
05231,R20SC,757033052314,R20SC LARGE RATCHET & HNDL TO 2IN
05232,R20BOX,757033052321,R20 LARGE BOX FOR SETS UP TO 2IN
05234,R20ADAPT,757033052345,R20ADAPT ADAPTER
05235,R11BOX,757033052352,R11BOX PLASTIC SET BOX
05240,601PD,757033052406,"601PD DRIVE, VISE& BOX, 110V"
05242,601V,757033052420,601V SAFETY VISE ONLY FOR 601PD
05246,601PDTAP,757033052468,601PDTAP TAPPING ADAPTER/SUP.HDL.
05258,CPDWW,757033052581,CORDLESS POWER DRIVE
05270,700PD,757033052703,700PD POWER DRIVE
05272,700PDSET,757033052727,700PDSET W/HEADS 1/2 - 2 NPT
05275,700V,757033052758,700V VISE ONLY
05276,700PDTMPDA,757033052765,700PDTMPDA POWER DRIVE W/ADAPTER
05277,PDGFI,757033052772,PDGFI GROUND FAULT INTERRUPTER
05287,VOKUCLUTCH,757033052871,VOK UTILITY  CLUTCH
05290,VOKU700PD,757033052901,VOKU700 VALVE OPERATING KIT
05291,VOKCNT,757033052918,COUNTER FOR VALVE OPERATING KIT
05294,VOKCCASE,757033052949,VOK CLUTCH CASE & FOAM
05295,CPDWWCNT,757033052956,CPDWW VOK COUNTER ASSEMBLY
05296,CPDWWLVHNDL,757033052963,CPDWW LEVERAGE HANDLE ASSEMBLY
05301,5301PD,757033053014,"5301 PD , 38RPM"
05303,5301PDCOMP,757033053038,"5301 PD COMPLETE, 38 RPM"
05305,5301PDTP,757033053052,5301 PDTP TRIPOD
05306,5301PDTRANSPRTR,757033053069,"TRANSPORTER ASSEMBLY, 5301 PD"
05307,5301PDCARRIAGE,757033053076,"CARRIAGE, WITH LEVER"
05308,5301PDREAMER,757033053083,"REAMER, 5301 PD"
05309,5301PDCUTTER,757033053090,"CUTTER, 5301 PD"
05374,SD81SC,757033053748,SD81SC STOCK ONLY-COMPLETE
05376,SD84SC,757033053762,SD84SC STOCK ONLY-COMPLETE
05380,R811,757033053809,R811 UNIVERSAL DIE HEAD
05402,0SP1/4,757033054028,OSP (55101)1/4 PIPE DIE-NPT 2 X 2IN
05404,0SP3/8,757033054042,OSP (55102)3/8 PIPE DIE-NPT 2 X 2IN
05410,0SP1,757033054103,OSP (55105)1 PIPE DIE-NPT 2 X 2IN
05466,1SP1/2,757033054660,1SP 1/2 (54703) PIPE DIE-NPT
05524,2SP 1/2,757033055247,2SP (54721) 1/2 PIPE DIE-NPT 4 X 4
05526,2SP3/4,757033055261,2SP (54722) 3/4 PIPE DIE-NPT 4 X 4
05528,2SP1,757033055285,2SP (54723) 1 PIPE DIE-NPT 4 X 4
05530,2SP1 1/4,757033055308,2SP (54724)1-1/4 PIPE DIE-NPT 4 X 4
05532,2SP1 1/2,757033055322,2SP (54725)1-1/2 PIPE DIE-NPT 4 X 4
05534,2SP2,757033055346,2SP (54726) 2 PIPE DIE-NPT 4 X 4
05606,R12DN 1/2,757033056060,R12DN1/2 1/2IN  R12-TYPE DIE SEG
05608,R12DN 3/4,757033056084,R12DN3/4  3/4IN R12-TYPE DIE SEG
05610,R12DN 1,757033056107,R12DN1 1IN R12-TYPE DIE SEG
05612,R12DN 1 1/4,757033056121,R12DN1 1/4 1-1/4IN R12-TYPE DIE SEG
05614,R12DN 1 1/2,757033056145,R12DN1 1/2 1-1/2IN R12-TYPE DIE SEG
05616,R12DN 2,757033056169,R12DN2 2IN R12-TYPE DIE SEGMENTS
05626,DHR12 1/2NPT,757033056268,R12 1/2 NPT 1/2 NPT DROPHEAD
05628,DHR12 3/4NPT,757033056282,R12 3/4NPT R12 3/4IN NPT DROPHEAD
05630,DHR12 1NPT,757033056305,R12 1NPT R12 1IN NPT DROPHEAD COMP
05632,DHR12 1 1/4NPT,757033056329,R121 1/4NPT R12 1 1/4IN NPT DROPHD
05634,DHR12 1 1/2NPT,757033056343,R121 1/2NPT R12 1 1/2IN NPT DROPHD
05636,DHR12 2NPT,757033056367,R12 2NPT R12 2IN NPT DROPHEAD COMP
05638,R12RRHC,757033056381,R12RRHC RATCHET RING & HANDLE COMP
05712,R12 NPT-3,757033057128,"R12 SET 1/2 - 1"" NPT"
05714,R12 NPT-4,757033057142,"R12 SET 1/2 - 1 1/4"" NPT"
05717,R12BOXRPF,757033057173,"R12 BOX FOR SETS, RED PLASTIC PLUS FOAM"
05720,R12 NPT-6,757033057203,"R12 SET 1/2""-2"" NPT"
05721,R12NPT-6-BOX,757033057210,R12 SET 1/2 - 2 NPT WITH BOX
05815,UHN1/2-3/4,757033058156,UHN1/2-3/4 UNIV.HS.NPT
05820,UHN1-2,757033058200,UHN1-2 UNIV.HS.NPT
05825,UHS1/2-3/4,757033058255,UHS1/2-3/4 UNIV.HSS/SS
05830,UHS1-2,757033058309,UHS1-2 UNIV.HSS/SS
06027,FPV20,757033060272,FPV-20 PIPE VISE F/20IN PIPE
06060,2 - 71,757033060609,2-71 PIPE REAMER 1/8 - 2
06071,HF3/4,757033060715,HF3/4 HAMMER FLARING TOOL
06072,HF1,757033060722,HF1 HAMMER FLARING TOOL
06073,PRHF3/4,757033060739,PRHF3/4 3/4IN PRESSURE RELIEF HAMME
06074,PRHF1,757033060746,PRHF1 1IN PRESSURE RELIEF HAMMER FL
06077,HF1 1/2,757033060777,HF1 1/2 1-1/2IN HAMMER FLARING TOOL
06078,HF2,757033060784,"HF 2"" HAMMER FLARE TOOL"
06081,RR3/4,757033060814,RR3/4  3/4IN COPPER RE-ROUNDING TOO
06082,RR1,757033060821,RR1 1IN COPPER RE-ROUNDING TOOL
06084,RR1 1/2,757033060845,RR1 1/2 1-1/2IN COPPER RE-ROUNDING
06085,RR2,757033060852,RR2  2IN COPPER RE-ROUNDING TOOL
06088,HAM3,757033060883,HAM3 BRASS HAMMER - 3LBS.
06112,OGC,757033061125,OGC CLEAR CUTTING OIL GALLON
06120,OGD,757033061200,OGD DARK CUTTING OIL GALLON
06150,OLBUCKT1,757033061507,"OLBUCKT1 OILER 13"" DIA."
06153,OLLID,757033061538,OLBUCKT LID
06155,OLGUARD,757033061552,OLBUCKT SPLASH GUARD
06158,OLKIT1,757033061583,OLKIT1 KIT FOR PUMPING DIY
06159,OLGSK,757033061590,"SERVICE KIT, OILER GUN"
06213,LV9PLB,757033062139,LV9PLB LEVEL (FOR PLUMBING)
06214,LV6WW,757033062146,LV6WW LEVEL (FOR WATERWORKS)
06350,JHV,757033063501,JHV V-HEAD PIPE STAND
06351,JTA,757033063518,JTA BALL TRANSFR HEAD ATTACH 1-PAIR
06370,JFV,757033063709,"JFV FOLDING V-HEAD JACKSTAND,2500LB"
06465,STP710,757033064652,STP710 STUD PUNCH
06475,GR1.3,757033064751,GR1.3 GROMMETS (PACK OF 100)
07509,UPCBG,757033075092,"UPC BLADE GUARD 8"" ASSY"
07510,UPC636A,757033075108,UPC636A PNEUMATIC UNIVRSAL PIPE CTR
07511,UPC648A,757033075115,UPC 648 AIR UNIVERSAL PIPE CUTTER
07512,UPC616A,757033075122,UPC616 6-16IN AIR POWERED PIPE CTR
07517,UPC836APE,757033075177,UPC836APE 8-36IN PNEUM PE CUTTER
07518,UPC848APE,757033075184,UPC848APE 8-48IN PNEUMATIC PE CUTTR
07620,SAWITSD2,757033076204,SAW-IT AIR SAW W/SAFETY DEADMAN
08000,DS12,757033080003,DS12 DESCALER
08006,DS36,757033080065,DS36 DESCALER
08008,DS12B,757033080089,DS12B BELT DESCALER
08034,SCRK,757033080348,SCRK SNAP CTR RLR KIT FOR NO HUB
08049,SC49-6,757033080492,SC49-6 SNAP CUTTER WITH 6IN CHAIN
08050,SC49-8,757033080508,SC49-8 SNAP CUTTER WITH 8IN CHAIN
08051,SC49-10,757033080515,SC49-10 SNAP CUTTER WITH 10IN CHAIN
08052,SC49-12,757033080522,SC49-12 SNAP CUTTER WITH 12IN CHAIN
08053,SC49-15,757033080539,SC49-15 SNAP CUTTER WITH 15IN CHAIN
08059,SC59-6,757033080591,SC59-6 SNAP CUTTER WITH 6IN CHAIN
08060,SC59-8,757033080607,SC59-8 SNAP CUTTER WITH 8IN CHAIN
08061,SC59-10,757033080614,SC59-10 SNAP CUTTER WITH 10IN CHAIN
08062,SC59-12,757033080621,SC59-12 SNAP CUTTER WITH 12IN CHAIN
08063,SC59-15,757033080638,SC59-15 SNAP CUTTER WITH 15IN CHAIN
08080,PJ414,757033080805,PJ414 PIPE JOINER
08140,CP15-38B,757033081406,CP15 CORDLESS PUMP STICK BASE
08141,CP15-38,757033081413,"CP15 PUMP ST W/BOSCH 4AHBAT & CHGR, CASE"
08142,CP15RM,757033081420,CP15 PUMP STICK MOTOR ASSY
08145,CPSTAND,757033081451,CP15 PUMP STAND
08150,HTP300,757033081505,HTP300 TEST PUMP
08153,HTPINHOSE,757033081536,HTPINHOSE INPUT HOSE W/STRAINER
08154,HTPOUTHOSE,757033081543,"HTP-HOSE ASSY,1/4, 10' LG. 2250 PSI"
08155,HTPSTRAIN,757033081550,HTP STRAINER ASSEMBLY
08160,HTP1000,757033081604,"HTP1000 TEST PUMP, 1000 PSI"
08170,EHTP500,757033081703,EHTP500 TEST PUMP
08172,EHTPOUTHOSE,757033081727,"EHTP OUTPUT HOSE, TEST PUMP"
08175,EHTP500C,757033081758,EHTP500C TEST PUMP W/ CAGE
08177,DPHTP500,757033081772,DPHTP500 DRILL POWERED TEST PUMP
08201,CSO1R,757033082014,CSO1R COPR SHUT OFF TL 3/4 - 1IN W/CASE
08203,CSO2R,757033082038,CSO2R COPPER SHUT OFF TL 2 IN W/CASE
08220,CSR2,757033082205,"CSR2 ROUND IT STR.&RR. 2"""
08224,CSR150,757033082243,"CSR150  1 1/2"" JAW INSERTS"
08226,RCR3/4,757033082267,"RCR3/4 ROUND-IT REROUNDER, 3/4"" COPPER"
08227,RCR1,757033082274,"RCR1 ROUND-IT REROUNDER, 1"" COPPER"
08228,RCR341,757033082281,"RCR341 ROUND-IT 3/4"" TOOL AND 1"" JAWS"
08350,DM3MECH,757033083509,"DM3 KIT W/HOLESAWS;3/4""-4"" VALVE SIZE"
08351,DM3MECHB,757033083516,"BASE NO HOLESAWS; 3/4""-4"" VALVE SIZE"
08358,MCR3/8,757033083585,COUPON RETAINER 3/8 DIA MAGNET-3 PK
08359,MCR1/4,757033083592,COUPON RETAINER 1/4 DIA MAGNET-3 PK
08413,DMHSA,757033084131,HOLE SAW ADPTR F/ DM2100 & CDTM
08423,DMCA75,757033084230,DMCA75 3/4IN CORP ADAPTER ASSEMBLY
08424,DMCA100,757033084247,DMCA100 1IN CORP ADAPTER ASSEMBLY
08425,DMCA150,757033084254,DMCA150 1-1/2IN AWWA CORP ADPTR ASY
08426,DMCA200,757033084261,DMCA200 2IN AWWA CORP ADAPTER ASSY
08428,DMCA150NPT,757033084285,DMCA150NPT 1-1/2IN NPT CORP ADPTR
08429,DMCA200NPT,757033084292,DMCA200NPT 2IN NPT CORP ADPTR ASSY
08430,TMPDA,757033084308,TMPDA POWER DRIVE ADAPTOR ASSEMBLY
08431,DMCA110150,757033084315,DMCA110150 1 1/2IN CORP ADPTR
08432,DMCA110200,757033084322,DMCA110200 2IN CORP ADAPTER
08500,RG6S,757033085008,RG6S PORTABLE ROLL GROOVER
08510,RG26S,757033085107,RG26S INPLACE ROLL GRVR-2-6IN STEEL
09113,FTAA,757033091139,FTAA FEED TAPPER - ARBOR ASSY
09160,FTB,757033091603,FTB FEED TAPPER BASIC KIT
09161,FT2000CC110,757033091610,"FT2000CC110 AWWA/110 COM KT 3/4 -2"""
09162,FT2000,757033091627,"FT2000,    AWWA KIT 3/4-2"""
09165,FT2000UNIV,757033091658,"FT2000UNIV COMPLETE KIT 3/4-2"""
09166,FT2000CCNPT,757033091665,FT2000CCNPT AWWA/110 COMP 3/4-1NPT
09167,FT1000CC110,757033091672,"FT1000CC110  AWWA/110 COMP  3/4-1"""
09168,FTP2000UNIV,757033091689,FTP2000UNIV COMPLETE PLASTIC ONLY
09169,FTBB,757033091696,FTB BASE MACHINE NO BOX LIMIT ACCESSORIE
09170,FT75CC110,757033091702,"FT75CC110 3/4"" AWWA-110 COMP CORP"
09171,FT100CC110,757033091719,"FT100CC110 1"" AWWA - 110 COMP CORP"
09172,FT150,757033091726,"FT150 1-1/2"" AWWA CORP ADAPTER"
09173,FT150110,757033091733,"FT150110 1-1/2"" 110 COMP CORP ADPT"
09174,FT200,757033091740,"FT200 2"" AWWA CORP ADAPTER"
09175,FT200110,757033091757,"FT200110 2"" 110 COMP CORP ADAPTER"
09200,RGCOMBO2,757033092006,RGCOMBO2 - ROLL GROOVER
09300,TM1100,757033093003,TM 1100 - TM WITH STAR FEED
09301,DM2100B,757033093010,DM 2100B BASE MACHINE
09302,DM1100,757033093027,"DM1100 3/4-1"""
09304,CDTM1100,757033093041,"CDTM1100 3/4-1"" TAP AND DRILL"
09306,CDTM1CONVN,757033093065,CDTM1CONV CONVERSION KIT
09312,DM2100,757033093126,DM2100
09314,CDTM2100,757033093140,"CDTM2100 3/4-1"" TAP 3/4-2"" DRILL"
09315,DM2100NPT,757033093157,"DM2100 NPT 3/4 -2"""
09316,CDTM2CONVN,757033093164,CDTM2CONV
09317,DM2100110,757033093171,"DM2100 110 3/4-2"""
09318,DM2100CCNPT,757033093188,"DM2100CCNPT 3/4-2"""
09321,DM2100UNIVERSAL,757033093218,DM2100 UNIVERSAL AWWA & NPT
09322,CDTM2100CONV,757033093225,CDTM2110CONV KIT
09323,CDTM2100110,757033093232,"CDTM2100110 3/4-1"" TAP, 3/4-2"" 110"
09402,R470+,757033094024,R470 + WIDE BASE TRIPOD
11601,BW125,757033116016,BW125 BASIN WRNCH
23382,5301WN,757033233829,WING NUT 3/8 - 16
24524,PPRR,757033245242,CARBIDE FOR  REAMER SCMT 3-1-14 IC20
24530,PEPEELB,757033245303,PE PEELER CARBIDE BLADE
28152,HTP300BB,757033281523,HTP300 BEARING BALL .375 302SS
30000,FTSP,757033300002,1/8X1.25IN HVY-NAT FIN-SPIROL PIN
30001,TC12ZNP,757033300019,1Q AND 2Q ZIPNUT PIN
30002,TC1-2SP,757033300026,1/8X1IN HVY-NAT FIN-SPIROL PIN
30006,WA36CS,757033300064,WA36CS CAP SCREW F/ CHAIN WRENCH
30008,MWHP,757033300088,3/16X13/16IN MED PLAIN SPIROLPIN
30009,2-4WGRR,757033300095,RETAINING RING FOR 2-4WGB
30011,PLASW,757033300118,3/8IN SAE ZINC PLTD STEEL WASHER
30013,HCGP1,757033300132,GUIDE PIN F/ H6-8-12-
30014,R2CSS,757033300149,R2-SPECIAL CROSSHEAD SCREW
30017,TC8QRP,757033300170,3/8 X 1IN STD NAT FIN ROLL PIN
30018,R2CS1/4,757033300187,1/4 -20 X 1/4IN SOCKT HD CUP POI
30019,TCSC,757033300194,1/4 -28 X 3/8IN SOCKT HD CUP POI
30020,TC8QRR,757033300200,RETAINING RING-NAT'L PART #WA518
30021,CV4SC,757033300217,5/16-18X2IN HEX HD NAT FIN CAP S
30022,R2HN,757033300224,5/16IN-18 HVY NAT FIN HEX NUT
30024,MC2RR,757033300248,RETAINING RING FOR MC2
30026,T10BS,757033300262,#10-32X5/8IN FILISTER HD PLTD MA
30030,HCGP2,757033300309,GUIDE PIN FOR H24
30032,R450LBN,757033300323,3/8IN-16 STD NAT FINISH HEX NUT
30033,R450LW,757033300330,"R450LW 3/8"" LOCK WASHER-ZN PLATE"
30035,RCCS,757033300354,CAP SCREW FOR RC20 24 30
30036,RCLW,757033300361,1/2IN HVY PATTERN LOCK WASHER
30037,CV68HN,757033300378,1/2IN-13 STD NAT. FINISH HEX NUT
30038,TC3-6SP,757033300385,3/16X1-3/8IN HVY-SPIROL PIN
30042,RS1CS,757033300422,1/4-20X1-1/4 BUTTON HD SOCKET CA
