sku,upc
82700,021449827003
82703,021449827034
82706,021449827065
82708,021449827089
82710,021449827102
82713,021449827133
82715,021449827157
82720,021449827201
82723,021449827232
82725,021449827256
82727,021449827270
82730,021449827300
82733,021449827331
82735,021449827355
97025,021449970259
97026,021449970266
