sku,upc
10841,012181108413
10842,012181108420
12495,012181124956
12496,012181124963
10258,012181102589
10260,012181102602
10201,012181102015
10202,012181102022
10204,012181102046
87735,
87730,
10006,012181100066
12071,012181120712
10007,012181100073
11957,012181119570
10008,012181100080
